batch,tree,distance,sort
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.0,32241495,original
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.0,27447265,lxi
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.1,32241495,original
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.1,27551909,lxi
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.10,32241495,original
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.10,27518731,lxi
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.11,32241495,original
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.11,27556810,lxi
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.12,32241495,original
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.12,27437447,lxi
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.13,32241495,original
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.13,27324751,lxi
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.14,32241495,original
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.14,27525918,lxi
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.15,32241495,original
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.15,27352216,lxi
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.16,32241495,original
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.16,27522015,lxi
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.17,32241495,original
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.17,27551771,lxi
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.18,32241495,original
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.18,27533081,lxi
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.19,32241495,original
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.19,27342273,lxi
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.2,32241495,original
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.2,27536439,lxi
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.20,32241495,original
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.20,27455682,lxi
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.21,32241495,original
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.21,27588720,lxi
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.22,32241495,original
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.22,27561663,lxi
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.23,32241495,original
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.23,27569930,lxi
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.24,32241495,original
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.24,27559710,lxi
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.25,32241495,original
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.25,27563493,lxi
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.26,32241495,original
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.26,27330126,lxi
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.27,32241495,original
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.27,27571736,lxi
pars_ml,./data/128/parsimony_trees/RAxML_result.T8.RUN.28,32241495,original
