batch,tree,distance,sort
pars_ml,./data/10d/parsimony_trees/RAxML_result.T2.RUN.0,24764602,original
pars_ml,./data/10d/parsimony_trees/RAxML_result.T2.RUN.0,22370153,lxi
pars_ml,./data/10d/parsimony_trees/RAxML_result.T2.RUN.1,24764602,original
pars_ml,./data/10d/parsimony_trees/RAxML_result.T2.RUN.1,22442786,lxi
pars_ml,./data/10d/parsimony_trees/RAxML_result.T2.RUN.10,24764602,original
pars_ml,./data/10d/parsimony_trees/RAxML_result.T2.RUN.10,22455965,lxi
pars_ml,./data/10d/parsimony_trees/RAxML_result.T2.RUN.11,24764602,original
pars_ml,./data/10d/parsimony_trees/RAxML_result.T2.RUN.11,22455965,lxi
pars_ml,./data/10d/parsimony_trees/RAxML_result.T2.RUN.12,24764602,original
pars_ml,./data/10d/parsimony_trees/RAxML_result.T2.RUN.12,22456190,lxi
pars_ml,./data/10d/parsimony_trees/RAxML_result.T2.RUN.13,24764602,original
pars_ml,./data/10d/parsimony_trees/RAxML_result.T2.RUN.13,22473212,lxi
pars_ml,./data/10d/parsimony_trees/RAxML_result.T2.RUN.14,24764602,original
pars_ml,./data/10d/parsimony_trees/RAxML_result.T2.RUN.14,22456190,lxi
pars_ml,./data/10d/parsimony_trees/RAxML_result.T2.RUN.15,24764602,original
pars_ml,./data/10d/parsimony_trees/RAxML_result.T2.RUN.15,22442969,lxi
pars_ml,./data/10d/parsimony_trees/RAxML_result.T2.RUN.16,24764602,original
pars_ml,./data/10d/parsimony_trees/RAxML_result.T2.RUN.16,22370467,lxi
pars_ml,./data/10d/parsimony_trees/RAxML_result.T2.RUN.17,24764602,original
pars_ml,./data/10d/parsimony_trees/RAxML_result.T2.RUN.17,22455997,lxi
pars_ml,./data/10d/parsimony_trees/RAxML_result.T2.RUN.18,24764602,original
pars_ml,./data/10d/parsimony_trees/RAxML_result.T2.RUN.18,22353151,lxi
pars_ml,./data/10d/parsimony_trees/RAxML_result.T2.RUN.19,24764602,original
pars_ml,./data/10d/parsimony_trees/RAxML_result.T2.RUN.19,22472980,lxi
