batch,tree,distance,sort
pars_ml,./data/10e/parsimony_trees/RAxML_result.T2.RUN.0,27066522,original
pars_ml,./data/10e/parsimony_trees/RAxML_result.T2.RUN.0,24421684,lxi
pars_ml,./data/10e/parsimony_trees/RAxML_result.T2.RUN.1,27066522,original
pars_ml,./data/10e/parsimony_trees/RAxML_result.T2.RUN.1,24497720,lxi
pars_ml,./data/10e/parsimony_trees/RAxML_result.T2.RUN.10,27066522,original
pars_ml,./data/10e/parsimony_trees/RAxML_result.T2.RUN.10,24510336,lxi
pars_ml,./data/10e/parsimony_trees/RAxML_result.T2.RUN.11,27066522,original
pars_ml,./data/10e/parsimony_trees/RAxML_result.T2.RUN.11,24510336,lxi
pars_ml,./data/10e/parsimony_trees/RAxML_result.T2.RUN.12,27066522,original
pars_ml,./data/10e/parsimony_trees/RAxML_result.T2.RUN.12,24510368,lxi
pars_ml,./data/10e/parsimony_trees/RAxML_result.T2.RUN.13,27066522,original
pars_ml,./data/10e/parsimony_trees/RAxML_result.T2.RUN.13,24529324,lxi
pars_ml,./data/10e/parsimony_trees/RAxML_result.T2.RUN.14,27066522,original
pars_ml,./data/10e/parsimony_trees/RAxML_result.T2.RUN.14,24510368,lxi
pars_ml,./data/10e/parsimony_trees/RAxML_result.T2.RUN.15,27066522,original
pars_ml,./data/10e/parsimony_trees/RAxML_result.T2.RUN.15,24497670,lxi
pars_ml,./data/10e/parsimony_trees/RAxML_result.T2.RUN.16,27066522,original
pars_ml,./data/10e/parsimony_trees/RAxML_result.T2.RUN.16,24421739,lxi
pars_ml,./data/10e/parsimony_trees/RAxML_result.T2.RUN.17,27066522,original
pars_ml,./data/10e/parsimony_trees/RAxML_result.T2.RUN.17,24510645,lxi
pars_ml,./data/10e/parsimony_trees/RAxML_result.T2.RUN.18,27066522,original
pars_ml,./data/10e/parsimony_trees/RAxML_result.T2.RUN.18,24402761,lxi
pars_ml,./data/10e/parsimony_trees/RAxML_result.T2.RUN.19,27066522,original
pars_ml,./data/10e/parsimony_trees/RAxML_result.T2.RUN.19,24529813,lxi
pars_ml,./data/10e/parsimony_trees/RAxML_result.T2.RUN.2,27066522,original
pars_ml,./data/10e/parsimony_trees/RAxML_result.T2.RUN.2,24517367,lxi
pars_ml,./data/10e/parsimony_trees/RAxML_result.T2.RUN.20,27066522,original
pars_ml,./data/10e/parsimony_trees/RAxML_result.T2.RUN.20,24528994,lxi
pars_ml,./data/10e/parsimony_trees/RAxML_result.T2.RUN.21,27066522,original
pars_ml,./data/10e/parsimony_trees/RAxML_result.T2.RUN.21,24407459,lxi
