batch,tree,distance,sort
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.0,2269953,original
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.0,1920470,lxi
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.1,2374544,original
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.1,2021586,lxi
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.10,2370476,original
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.10,1997617,lxi
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.11,2374544,original
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.11,2024131,lxi
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.12,2374544,original
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.12,2018102,lxi
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.13,2370476,original
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.13,2003190,lxi
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.14,2374544,original
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.14,2023916,lxi
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.15,2319592,original
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.15,1977603,lxi
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.16,2319592,original
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.16,1978270,lxi
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.17,2374800,original
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.17,2021075,lxi
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.18,2374544,original
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.18,2021510,lxi
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.19,2374800,original
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.19,2013121,lxi
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.2,2374800,original
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.2,2015249,lxi
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.20,2374800,original
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.20,1999634,lxi
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.21,2315524,original
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.21,1979558,lxi
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.22,2374544,original
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.22,2008230,lxi
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.23,2370476,original
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.23,2017201,lxi
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.24,2319848,original
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.24,1974066,lxi
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.25,2315524,original
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.25,1961023,lxi
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.26,2319592,original
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.26,1971787,lxi
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.27,2374800,original
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.27,2020518,lxi
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.28,2315524,original
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.28,1966893,lxi
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.29,2319592,original
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.29,1986870,lxi
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.3,2370476,original
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.3,2017610,lxi
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.30,2370476,original
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.30,2016959,lxi
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.31,2315524,original
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.31,1975173,lxi
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.32,2374800,original
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.32,2001989,lxi
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.33,2374544,original
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.33,2022411,lxi
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.34,2374544,original
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.34,2007633,lxi
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.35,2269697,original
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.35,1932804,lxi
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.36,2319592,original
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.36,1969570,lxi
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.37,2269953,original
pars_ml,./data/59/parsimony_trees/RAxML_result.T4.RUN.37,1919467,lxi
