batch,tree,distance,sort
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.0,29316932,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.0,24489284,lxi
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.1,29246136,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.1,24494904,lxi
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.10,29107468,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.10,24335509,lxi
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.11,29139465,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.11,24346159,lxi
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.12,29057872,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.12,24244411,lxi
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.13,28998892,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.13,24238512,lxi
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.14,28985093,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.14,24291461,lxi
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.15,29133548,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.15,24875960,lxi
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.16,29310541,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.16,24465078,lxi
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.17,29235875,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.17,24349920,lxi
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.18,29025714,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.18,24210138,lxi
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.19,29053062,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.19,24210241,lxi
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.2,28891992,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.2,24695223,lxi
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.20,28969398,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.20,24301414,lxi
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.21,29103053,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.21,24289093,lxi
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.22,29286916,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.22,24405894,lxi
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.23,29392559,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.23,24537940,lxi
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.24,29114741,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.24,24379101,lxi
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.25,29274539,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.25,24340854,lxi
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.26,29185992,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.26,24378883,lxi
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.27,28891515,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.27,24175369,lxi
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.28,29210977,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.28,25051906,lxi
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.29,29093581,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.29,24285303,lxi
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.3,29527549,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.3,24710471,lxi
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.30,29231124,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.30,24472959,lxi
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.31,29139012,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.31,24367176,lxi
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.32,29381720,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.32,24553117,lxi
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.33,29124272,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.33,24362861,lxi
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.34,28936541,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.34,24748258,lxi
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.35,29435331,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.35,24613167,lxi
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.36,29274695,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.36,24413436,lxi
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.37,29092610,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.37,24818894,lxi
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.38,29070395,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.38,24326362,lxi
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.39,29209407,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.39,24405620,lxi
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.4,29083700,original
pars_ml,./data/404/parsimony_trees/RAxML_result.T10.RUN.4,24263701,lxi
