batch,tree,distance,sort
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.0,7699618,original
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.0,6972381,lxi
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.1,7699618,original
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.1,6967370,lxi
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.10,7699618,original
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.10,6961239,lxi
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.11,7699618,original
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.11,6961239,lxi
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.12,7699618,original
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.12,6960859,lxi
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.13,7699618,original
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.13,6966080,lxi
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.14,7699618,original
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.14,6960859,lxi
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.15,7699618,original
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.15,6967186,lxi
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.16,7699618,original
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.16,6972055,lxi
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.17,7699618,original
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.17,6960812,lxi
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.18,7699618,original
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.18,6967370,lxi
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.19,7699618,original
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.19,6966065,lxi
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.2,7699618,original
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.2,6972055,lxi
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.20,7699618,original
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.20,6965863,lxi
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.21,7699618,original
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.21,6961149,lxi
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.22,7699618,original
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.22,6961239,lxi
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.23,7699618,original
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.23,6961239,lxi
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.24,7699618,original
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.24,6961149,lxi
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.25,7699618,original
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.25,6972381,lxi
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.26,7699618,original
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.26,6972381,lxi
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.27,7699618,original
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.27,6966065,lxi
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.28,7699618,original
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.28,6972220,lxi
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.29,7699618,original
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.29,6967119,lxi
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.3,7699618,original
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.3,6967004,lxi
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.30,7699618,original
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.30,6961149,lxi
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.31,7699618,original
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.31,6960812,lxi
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.32,7699618,original
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.32,6966080,lxi
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.33,7699618,original
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.33,6966080,lxi
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.34,7699618,original
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.34,6961149,lxi
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.35,7699618,original
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.35,6966065,lxi
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.36,7699618,original
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.36,6972220,lxi
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.37,7699618,original
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.37,6967004,lxi
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.38,7699618,original
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.38,6972381,lxi
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.39,7699618,original
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.39,6960812,lxi
pars_ml,./data/10a/parsimony_trees/RAxML_result.T2.RUN.4,7699618,original
