description,bin,lower_bound,sites,partition,op_optimized,op_maximum
odda,0,43197,33,5.8S,5448,12903
odda,0,43197,372,ndhf1st,42363,145452
odda,1,43197,241,its2,41359,94231
odda,1,43197,164,ndhf1st,20881,64124
odda,2,43197,268,gbss13rd,21652,104788
odda,2,43197,137,ndhf1st,18704,53567
odda,3,43197,354,rbcl1st,31146,138414
odda,3,43197,51,ndhf1st,8507,19941
odda,4,43197,354,cprs,43875,138414
odda,4,43197,51,ndhf1st,7585,19941
odda,5,43197,386,rpoc23rd,34787,150926
odda,5,43197,17,ndhf1st,96585,386308
odda,6,43197,209,phyb3rd,70717,240074
odda,6,43197,196,ndhf1st,21988,76636
odda,7,43197,405,phyb3rd,51698,158355
cut,0,43197,343,cprs,43203,134113
cut,1,43197,11,cprs,1670,4301
cut,1,43197,298,phyb3rd,41786,116518
cut,2,43197,316,phyb3rd,36650,123556
cut,2,43197,71,ndhf1st,9475,27761
cut,3,43197,33,5.8S,5448,12903
cut,3,43197,403,ndhf1st,42251,157573
cut,4,43197,268,gbss13rd,21652,104788
cut,4,43197,221,ndhf1st,27674,86411
cut,5,43197,354,rbcl1st,31146,138414
cut,5,43197,153,ndhf1st,18830,59823
cut,6,43197,386,rpoc23rd,34787,150926
cut,6,43197,112,ndhf1st,15931,43792
cut,7,43197,241,its2,41359,94231
cut,7,43197,28,ndhf1st,5407,10948
cut_low-src,0,43197,353,cprs,43843,138023
cut_low-src,0,43197,12,ndhf1st,3668,4692
cut_low-src,1,43197,1,cprs,391,391
cut_low-src,1,43197,287,phyb3rd,37858,112217
cut_low-src,1,43197,36,ndhf1st,9022,14076
cut_low-src,2,43197,327,phyb3rd,39125,127857
cut_low-src,2,43197,64,ndhf1st,8040,25024
cut_low-src,3,43197,33,5.8S,5448,12903
cut_low-src,3,43197,404,ndhf1st,41932,157964
cut_low-src,4,43197,268,gbss13rd,21652,104788
cut_low-src,4,43197,210,ndhf1st,25627,82110
cut_low-src,5,43197,354,rbcl1st,31146,138414
cut_low-src,5,43197,138,ndhf1st,16058,53958
cut_low-src,6,43197,386,rpoc23rd,34787,150926
cut_low-src,6,43197,97,ndhf1st,12586,37927
cut_low-src,7,43197,241,its2,41359,94231
cut_low-src,7,43197,27,ndhf1st,5912,10557
cut_low-src_red-max,0,43197,353,cprs,43622,138023
cut_low-src_red-max,0,43197,11,ndhf1st,3253,4301
cut_low-src_red-max,1,43197,1,cprs,391,391
cut_low-src_red-max,1,43197,287,phyb3rd,37858,112217
cut_low-src_red-max,1,43197,37,ndhf1st,9289,14467
cut_low-src_red-max,2,43197,327,phyb3rd,39125,127857
cut_low-src_red-max,2,43197,65,ndhf1st,8447,25415
cut_low-src_red-max,3,43197,33,5.8S,5448,12903
cut_low-src_red-max,3,43197,403,ndhf1st,42088,157573
cut_low-src_red-max,4,43197,268,gbss13rd,21652,104788
cut_low-src_red-max,4,43197,211,ndhf1st,25888,82501
cut_low-src_red-max,5,43197,354,rbcl1st,31146,138414
cut_low-src_red-max,5,43197,140,ndhf1st,16380,54740
cut_low-src_red-max,6,43197,386,rpoc23rd,34787,150926
cut_low-src_red-max,6,43197,92,ndhf1st,11440,35972
cut_low-src_red-max,7,43197,241,its2,41359,94231
cut_low-src_red-max,7,43197,29,ndhf1st,6021,11339
cut_red-max,0,43197,343,cprs,43203,134113
cut_red-max,1,43197,11,cprs,1670,4301
cut_red-max,1,43197,298,phyb3rd,41786,116518
cut_red-max,2,43197,316,phyb3rd,36650,123556
cut_red-max,2,43197,75,ndhf1st,10603,29325
cut_red-max,3,43197,33,5.8S,5448,12903
cut_red-max,3,43197,403,ndhf1st,42251,157573
cut_red-max,4,43197,268,gbss13rd,21652,104788
cut_red-max,4,43197,221,ndhf1st,27674,86411
cut_red-max,5,43197,354,rbcl1st,31146,138414
cut_red-max,5,43197,152,ndhf1st,18568,59432
cut_red-max,6,43197,386,rpoc23rd,34787,150926
