description,bin,lower_bound,sites,partition,op_optimized,op_maximum
odda,0,123839,161,gene86,5085,8211
odda,0,123839,355,gene95,9916,18105
odda,0,123839,540,gene77,14320,27540
odda,0,123839,618,gene74,16304,31518
odda,0,123839,755,gene33,20788,38505
odda,0,123839,1067,gene53,27548,54417
odda,0,123839,338,gene22,43204,89913
odda,0,123839,964,gene70,24792,49164
odda,1,123839,167,gene8,5334,8517
odda,1,123839,358,gene28,10628,18258
odda,1,123839,550,gene48,15152,28050
odda,1,123839,627,gene58,17096,31977
odda,1,123839,761,gene35,20812,38811
odda,1,123839,1102,gene68,27580,56202
odda,1,123839,916,gene70,44488,95880
odda,1,123839,317,gene26,9584,16167
odda,2,123839,172,gene15,5552,8772
odda,2,123839,378,gene4,11280,19278
odda,2,123839,556,gene44,15252,28356
odda,2,123839,628,gene31,17280,32028
odda,2,123839,808,gene94,20304,41208
odda,2,123839,1105,gene56,28020,56355
odda,2,123839,1151,gene26,30232,58701
odda,3,123839,192,gene42,6260,9792
odda,3,123839,382,gene79,10596,19482
odda,3,123839,563,gene5,15724,28713
odda,3,123839,633,gene27,17796,32283
odda,3,123839,808,gene87,20608,41208
odda,3,123839,1168,gene57,29192,59568
odda,3,123839,848,gene26,54648,118116
odda,3,123839,204,gene50,6454,10404
odda,4,123839,205,gene1,6456,10455
odda,4,123839,408,gene19,11844,20808
odda,4,123839,565,gene83,15144,28815
odda,4,123839,657,gene13,18152,33507
odda,4,123839,855,gene96,21304,43605
odda,4,123839,1192,gene59,29592,60792
odda,4,123839,916,gene50,23900,46716
odda,5,123839,205,gene2,6640,10455
odda,5,123839,409,gene71,11179,20859
odda,5,123839,569,gene10,16052,29019
odda,5,123839,659,gene78,16772,33609
odda,5,123839,862,gene46,21892,43962
odda,5,123839,1252,gene81,29868,63852
odda,5,123839,842,gene50,22896,42942
odda,6,123839,207,gene17,6828,10557
odda,6,123839,424,gene76,11580,21624
odda,6,123839,576,gene100,15200,29376
odda,6,123839,665,gene25,18196,33915
odda,6,123839,866,gene11,23540,44166
odda,6,123839,1256,gene47,31276,64056
odda,6,123839,447,gene50,55164,122859
odda,6,123839,357,gene99,10552,18207
odda,7,123839,208,gene3,6498,10608
odda,7,123839,428,gene45,12332,21828
odda,7,123839,578,gene49,15528,29478
odda,7,123839,668,gene12,18280,34068
odda,7,123839,879,gene61,22480,44829
odda,7,123839,1303,gene41,32244,66453
odda,7,123839,734,gene99,19796,37434
odda,8,123839,220,gene32,6910,11220
odda,8,123839,457,gene23,12892,23307
odda,8,123839,579,gene69,15612,29529
odda,8,123839,679,gene51,18040,34629
odda,8,123839,927,gene88,23076,47277
odda,8,123839,1391,gene82,32892,70941
odda,8,123839,545,gene99,15748,27795
odda,9,123839,241,gene75,7077,12291
odda,9,123839,474,gene85,12899,24174
odda,9,123839,585,gene29,16240,29835
odda,9,123839,682,gene62,18192,34782
odda,9,123839,930,gene38,24268,47430
odda,9,123839,1402,gene55,34348,71502
odda,9,123839,484,gene99,14472,24684
odda,10,123839,281,gene6,8516,14331
odda,10,123839,488,gene30,14096,24888
odda,10,123839,592,gene14,16860,30192
odda,10,123839,691,gene93,17936,35241
odda,10,123839,953,gene54,24276,48603
odda,10,123839,1483,gene43,35560,75633
odda,10,123839,310,gene99,10112,15810
odda,11,123839,287,gene64,8612,14637
odda,11,123839,493,gene40,13512,25143
odda,11,123839,600,gene21,16960,30600
odda,11,123839,693,gene72,18052,35343
odda,11,123839,978,gene92,23860,49878
odda,11,123839,1506,gene80,35316,76806
odda,11,123839,241,gene99,8072,12291
odda,12,123839,298,gene9,9155,15198
odda,12,123839,507,gene89,13436,25857
odda,12,123839,602,gene18,16896,30702
odda,12,123839,694,gene16,19168,35394
odda,12,123839,1013,gene39,25900,51663
odda,12,123839,1564,gene60,38120,79764
odda,12,123839,120,gene99,4427,6120
odda,13,123839,307,gene97,8671,15657
odda,13,123839,512,gene20,14524,26112
odda,13,123839,604,gene36,16660,30804
odda,13,123839,721,gene98,18328,36771
odda,13,123839,1022,gene65,25992,52122
odda,13,123839,1593,gene91,37280,81243
odda,13,123839,25,gene99,63632,143616
odda,14,123839,320,gene24,9651,16320
odda,14,123839,521,gene84,14015,26571
odda,14,123839,605,gene67,16384,30855
odda,14,123839,735,gene37,19968,37485
odda,14,123839,1064,gene66,26936,54264
odda,14,123839,1553,gene73,36184,79203
odda,15,123839,346,gene63,10076,17646
odda,15,123839,529,gene34,15236,26979
odda,15,123839,605,gene7,16944,30855
odda,15,123839,752,gene52,19792,38352
odda,15,123839,1065,gene90,26116,54315
odda,15,123839,76,gene73,37728,83079
odda,15,123839,1425,gene22,35956,72675
cut,0,123839,320,gene24,9651,16320
cut,0,123839,540,gene77,14320,27540
cut,0,123839,592,gene14,16860,30192
cut,0,123839,752,gene52,19792,38352
cut,0,123839,1065,gene90,26116,54315
cut,0,123839,1518,gene60,37112,77418
cut,1,123839,355,gene95,9916,18105
cut,1,123839,512,gene20,14524,26112
cut,1,123839,602,gene18,16896,30702
cut,1,123839,735,gene37,19968,37485
cut,1,123839,1064,gene66,26936,54264
cut,1,123839,46,gene60,1869,2346
cut,1,123839,1333,gene22,33860,67983
cut,2,123839,161,gene86,5085,8211
cut,2,123839,346,gene63,10076,17646
cut,2,123839,565,gene83,15144,28815
cut,2,123839,605,gene7,16944,30855
cut,2,123839,808,gene94,20304,41208
cut,2,123839,1067,gene53,27548,54417
cut,2,123839,430,gene22,13284,21930
cut,2,123839,582,gene70,16068,29682
cut,3,123839,167,gene8,5334,8517
cut,3,123839,382,gene79,10596,19482
cut,3,123839,550,gene48,15152,28050
cut,3,123839,600,gene21,16960,30600
cut,3,123839,808,gene87,20608,41208
cut,3,123839,1102,gene68,27580,56202
cut,3,123839,1124,gene70,28764,57324
cut,4,123839,172,gene15,5552,8772
cut,4,123839,358,gene28,10628,18258
cut,4,123839,576,gene100,15200,29376
cut,4,123839,627,gene58,17096,31977
cut,4,123839,755,gene33,20788,38505
cut,4,123839,1105,gene56,28020,56355
cut,4,123839,174,gene70,6076,8874
cut,4,123839,816,gene26,21936,41616
cut,5,123839,192,gene42,6260,9792
cut,5,123839,409,gene71,11179,20859
cut,5,123839,529,gene34,15236,26979
cut,5,123839,628,gene31,17280,32028
cut,5,123839,761,gene35,20812,38811
cut,5,123839,1168,gene57,29192,59568
cut,5,123839,950,gene26,26144,48450
cut,6,123839,205,gene1,6456,10455
cut,6,123839,378,gene4,11280,19278
cut,6,123839,556,gene44,15252,28356
cut,6,123839,633,gene27,17796,32283
cut,6,123839,855,gene96,21304,43605
cut,6,123839,1192,gene59,29592,60792
