description,bin,lower_bound,sites,partition,op_optimized,op_maximum
odda,0,1731570,103,gene111,3458,5253
odda,0,1731570,149,gene31,4824,7599
odda,0,1731570,165,gene61,5475,8415
odda,0,1731570,180,gene78,5832,9180
odda,0,1731570,191,gene54,6035,9741
odda,0,1731570,210,gene89,6554,10710
odda,0,1731570,232,gene69,7420,11832
odda,0,1731570,235,gene214,7347,11985
odda,0,1731570,240,gene12,7324,12240
odda,0,1731570,245,gene5,7696,12495
odda,0,1731570,264,gene231,8020,13464
odda,0,1731570,274,gene155,8451,13974
odda,0,1731570,290,gene24,9036,14790
odda,0,1731570,299,gene179,9028,15249
odda,0,1731570,310,gene219,9416,15810
odda,0,1731570,323,gene87,9600,16473
odda,0,1731570,330,gene151,9956,16830
odda,0,1731570,335,gene165,9984,17085
odda,0,1731570,351,gene11,10452,17901
odda,0,1731570,364,gene75,10766,18564
odda,0,1731570,381,gene218,11216,19431
odda,0,1731570,384,gene107,11472,19584
odda,0,1731570,393,gene97,11304,20043
odda,0,1731570,408,gene273,11444,20808
odda,0,1731570,413,gene149,12112,21063
odda,0,1731570,420,gene17,12012,21420
odda,0,1731570,439,gene197,12916,22389
odda,0,1731570,445,gene68,12664,22695
odda,0,1731570,463,gene166,13104,23613
odda,0,1731570,468,gene326,13176,23868
odda,0,1731570,471,gene47,13520,24021
odda,0,1731570,477,gene154,13580,24327
odda,0,1731570,505,gene8,14388,25755
odda,0,1731570,520,gene56,14620,26520
odda,0,1731570,531,gene230,14824,27081
odda,0,1731570,545,gene187,15348,27795
odda,0,1731570,573,gene185,15900,29223
odda,0,1731570,578,gene141,16228,29478
odda,0,1731570,597,gene238,16064,30447
odda,0,1731570,601,gene180,16884,30651
odda,0,1731570,609,gene3,16980,31059
odda,0,1731570,618,gene314,16592,31518
odda,0,1731570,625,gene20,17188,31875
odda,0,1731570,647,gene246,17408,32997
odda,0,1731570,658,gene74,18104,33558
odda,0,1731570,674,gene2,18380,34374
odda,0,1731570,684,gene138,18436,34884
odda,0,1731570,689,gene313,18188,35139
odda,0,1731570,706,gene181,19076,36006
odda,0,1731570,723,gene280,19116,36873
odda,0,1731570,740,gene55,20304,37740
odda,0,1731570,751,gene264,20096,38301
odda,0,1731570,766,gene268,19972,39066
odda,0,1731570,773,gene277,20396,39423
odda,0,1731570,796,gene1,21340,40596
odda,0,1731570,809,gene210,21688,41259
odda,0,1731570,828,gene221,21736,42228
odda,0,1731570,845,gene252,21924,43095
odda,0,1731570,855,gene228,22288,43605
odda,0,1731570,872,gene259,22524,44472
odda,0,1731570,887,gene36,23468,45237
odda,0,1731570,909,gene76,24200,46359
odda,0,1731570,920,gene250,23844,46920
odda,0,1731570,936,gene227,24120,47736
odda,0,1731570,954,gene22,25416,48654
odda,0,1731570,971,gene270,24660,49521
odda,0,1731570,1025,gene83,26724,52275
odda,0,1731570,1088,gene253,27400,55488
odda,0,1731570,1120,gene63,29304,57120
odda,0,1731570,1136,gene288,28420,57936
odda,0,1731570,1176,gene296,29532,59976
odda,0,1731570,1283,gene194,32896,65433
odda,0,1731570,1299,gene276,32128,66249
odda,0,1731570,1332,gene140,33908,67932
odda,0,1731570,1455,gene26,36896,74205
odda,0,1731570,1477,gene282,35724,75327
odda,0,1731570,1548,gene320,37044,78948
odda,0,1731570,1689,gene233,40060,86139
odda,0,1731570,1950,gene235,45860,99450
odda,0,1731570,2063,gene122,49636,105213
odda,0,1731570,2188,gene303,50552,111588
odda,0,1731570,2708,gene240,61492,138108
odda,0,1731570,3540,gene222,78384,180540
odda,0,1731570,4401,gene150,101644,224451
odda,1,1731570,125,gene104,4056,6375
odda,1,1731570,150,gene60,4805,7650
odda,1,1731570,165,gene298,5411,8415
odda,1,1731570,185,gene113,5848,9435
odda,1,1731570,193,gene43,6326,9843
odda,1,1731570,211,gene204,6734,10761
odda,1,1731570,233,gene32,7339,11883
odda,1,1731570,236,gene153,7319,12036
odda,1,1731570,240,gene212,7259,12240
odda,1,1731570,248,gene182,7668,12648
odda,1,1731570,264,gene177,8183,13464
odda,1,1731570,276,gene77,8560,14076
odda,1,1731570,291,gene168,8724,14841
odda,1,1731570,301,gene27,9300,15351
odda,1,1731570,313,gene236,9220,15963
odda,1,1731570,325,gene95,9788,16575
odda,1,1731570,331,gene163,9851,16881
odda,1,1731570,339,gene70,10072,17289
odda,1,1731570,354,gene201,10536,18054
odda,1,1731570,371,gene251,10716,18921
odda,1,1731570,382,gene247,11132,19482
odda,1,1731570,390,gene123,11628,19890
odda,1,1731570,396,gene229,11440,20196
odda,1,1731570,410,gene160,11988,20910
odda,1,1731570,414,gene148,11936,21114
odda,1,1731570,421,gene152,12404,21471
odda,1,1731570,440,gene131,12680,22440
odda,1,1731570,445,gene10,12916,22695
odda,1,1731570,464,gene115,13492,23664
odda,1,1731570,469,gene162,13520,23919
odda,1,1731570,471,gene94,13468,24021
odda,1,1731570,485,gene213,13527,24735
odda,1,1731570,515,gene304,14420,26265
odda,1,1731570,525,gene117,14836,26775
odda,1,1731570,537,gene189,15128,27387
odda,1,1731570,547,gene292,14976,27897
odda,1,1731570,575,gene46,15920,29325
odda,1,1731570,579,gene159,16116,29529
odda,1,1731570,598,gene317,16172,30498
odda,1,1731570,603,gene132,16852,30753
odda,1,1731570,611,gene112,17228,31161
odda,1,1731570,619,gene188,17168,31569
odda,1,1731570,626,gene274,16948,31926
odda,1,1731570,647,gene79,17648,32997
odda,1,1731570,664,gene248,17648,33864
odda,1,1731570,675,gene310,18052,34425
