description,bin,lower_bound,sites,partition,op_optimized,op_maximum
odda,0,445826,99,PARTITION_8,18728,263538
odda,0,445826,660,PARTITION_1,143811,1756920
odda,0,445826,918,PARTITION_10,191141,2443716
odda,0,445826,184,PARTITION_0,315899,3870548
odda,1,445826,109,PARTITION_3,20927,290158
odda,1,445826,700,PARTITION_7,146661,1863400
odda,1,445826,1052,PARTITION_2,288389,2800424
odda,2,445826,339,PARTITION_4,34665,902418
odda,2,445826,718,PARTITION_5,322950,1911316
odda,2,445826,239,PARTITION_2,370779,3436642
odda,2,445826,565,PARTITION_0,115273,1504030
odda,3,445826,431,PARTITION_9,50250,1147322
odda,3,445826,725,PARTITION_6,167493,1929950
odda,3,445826,705,PARTITION_0,183693,1876710
cut,0,445826,99,PARTITION_8,18728,263538
cut,0,445826,660,PARTITION_1,143811,1756920
cut,0,445826,1295,PARTITION_0,283399,3447290
cut,1,445826,109,PARTITION_3,20927,290158
cut,1,445826,700,PARTITION_7,146661,1863400
cut,1,445826,159,PARTITION_0,54768,423258
cut,1,445826,500,PARTITION_5,232268,1331000
cut,2,445826,339,PARTITION_4,34665,902418
cut,2,445826,725,PARTITION_6,167493,1929950
cut,2,445826,218,PARTITION_5,121375,580316
cut,2,445826,430,PARTITION_2,146387,1144660
cut,3,445826,431,PARTITION_9,50250,1147322
cut,3,445826,918,PARTITION_10,191141,2443716
cut,3,445826,861,PARTITION_2,259789,2291982
cut_low-src,0,445826,99,PARTITION_8,18728,263538
cut_low-src,0,445826,660,PARTITION_1,143811,1756920
cut_low-src,0,445826,1319,PARTITION_0,292399,3511178
cut_low-src,0,445826,9,PARTITION_2,13427,23958
cut_low-src,1,445826,109,PARTITION_3,20927,290158
cut_low-src,1,445826,700,PARTITION_7,146661,1863400
cut_low-src,1,445826,135,PARTITION_0,41823,359370
cut_low-src,1,445826,532,PARTITION_5,256198,1416184
cut_low-src,1,445826,1,PARTITION_2,2662,2662
cut_low-src,2,445826,339,PARTITION_4,34665,902418
cut_low-src,2,445826,725,PARTITION_6,167493,1929950
cut_low-src,2,445826,186,PARTITION_5,94698,495132
cut_low-src,2,445826,464,PARTITION_2,171303,1235168
cut_low-src,3,445826,431,PARTITION_9,50250,1147322
cut_low-src,3,445826,918,PARTITION_10,191141,2443716
cut_low-src,3,445826,817,PARTITION_2,229927,2174854
cut_low-src_red-max,0,445826,99,PARTITION_8,18728,263538
cut_low-src_red-max,0,445826,660,PARTITION_1,143811,1756920
cut_low-src_red-max,0,445826,1318,PARTITION_0,291605,3508516
cut_low-src_red-max,0,445826,9,PARTITION_2,13158,23958
cut_low-src_red-max,1,445826,109,PARTITION_3,20927,290158
cut_low-src_red-max,1,445826,700,PARTITION_7,146661,1863400
cut_low-src_red-max,1,445826,136,PARTITION_0,42802,362032
cut_low-src_red-max,1,445826,534,PARTITION_5,258035,1421508
cut_low-src_red-max,2,445826,339,PARTITION_4,34665,902418
