description,bin,lower_bound,sites,partition,op_optimized,op_maximum
odda,0,222913,99,PARTITION_8,18728,263538
odda,0,222913,832,PARTITION_10,178441,2214784
odda,1,222913,109,PARTITION_3,20927,290158
odda,1,222913,86,PARTITION_10,191141,2443716
odda,1,222913,736,PARTITION_2,212673,1959232
odda,2,222913,339,PARTITION_4,34665,902418
odda,2,222913,555,PARTITION_2,370779,3436642
odda,2,222913,37,PARTITION_0,16399,98494
odda,3,222913,431,PARTITION_9,50250,1147322
odda,3,222913,500,PARTITION_0,100373,1331000
odda,4,222913,660,PARTITION_1,143811,1756920
odda,4,222913,271,PARTITION_0,73372,721402
odda,5,222913,700,PARTITION_7,146661,1863400
odda,5,222913,231,PARTITION_0,75610,614922
odda,6,222913,718,PARTITION_5,322950,1911316
odda,6,222913,213,PARTITION_0,72349,567006
odda,7,222913,725,PARTITION_6,167493,1929950
odda,7,222913,202,PARTITION_0,315899,3870548
cut,0,222913,99,PARTITION_8,18728,263538
cut,0,222913,969,PARTITION_0,204350,2579478
cut,1,222913,109,PARTITION_3,20927,290158
cut,1,222913,485,PARTITION_0,141484,1291070
cut,1,222913,107,PARTITION_5,68205,284834
cut,2,222913,339,PARTITION_4,34665,902418
cut,2,222913,429,PARTITION_5,203270,1141998
cut,3,222913,431,PARTITION_9,50250,1147322
cut,3,222913,182,PARTITION_5,103611,484484
cut,3,222913,233,PARTITION_2,94205,620246
cut,4,222913,660,PARTITION_1,143811,1756920
cut,4,222913,328,PARTITION_2,100084,873136
cut,5,222913,700,PARTITION_7,146661,1863400
cut,5,222913,363,PARTITION_2,107885,966306
cut,6,222913,725,PARTITION_6,167493,1929950
cut,6,222913,249,PARTITION_2,92523,662838
cut,7,222913,918,PARTITION_10,191141,2443716
cut,7,222913,118,PARTITION_2,66143,314116
cut_low-src,0,222913,99,PARTITION_8,18728,263538
cut_low-src,0,222913,994,PARTITION_0,215581,2646028
cut_low-src,0,222913,6,PARTITION_2,10547,15972
cut_low-src,1,222913,109,PARTITION_3,20927,290158
cut_low-src,1,222913,460,PARTITION_0,127977,1224520
cut_low-src,1,222913,93,PARTITION_5,55384,247566
cut_low-src,1,222913,47,PARTITION_2,42430,125114
cut_low-src,2,222913,339,PARTITION_4,34665,902418
cut_low-src,2,222913,439,PARTITION_5,210231,1168618
cut_low-src,3,222913,431,PARTITION_9,50250,1147322
cut_low-src,3,222913,186,PARTITION_5,106453,495132
cut_low-src,3,222913,222,PARTITION_2,87961,590964
cut_low-src,4,222913,660,PARTITION_1,143811,1756920
cut_low-src,4,222913,333,PARTITION_2,100970,886446
cut_low-src,5,222913,700,PARTITION_7,146661,1863400
cut_low-src,5,222913,338,PARTITION_2,97874,899756
cut_low-src,6,222913,725,PARTITION_6,167493,1929950
cut_low-src,6,222913,227,PARTITION_2,78251,604274
cut_low-src,7,222913,918,PARTITION_10,191141,2443716
cut_low-src,7,222913,118,PARTITION_2,63411,314116
cut_low-src_red-max,0,222913,99,PARTITION_8,18728,263538
cut_low-src_red-max,0,222913,995,PARTITION_0,216463,2648690
cut_low-src_red-max,0,222913,7,PARTITION_2,11462,18634
cut_low-src_red-max,1,222913,109,PARTITION_3,20927,290158
cut_low-src_red-max,1,222913,459,PARTITION_0,127147,1221858
cut_low-src_red-max,1,222913,93,PARTITION_5,55384,247566
cut_low-src_red-max,1,222913,44,PARTITION_2,38227,117128
cut_low-src_red-max,2,222913,339,PARTITION_4,34665,902418
cut_low-src_red-max,2,222913,439,PARTITION_5,210231,1168618
cut_low-src_red-max,3,222913,431,PARTITION_9,50250,1147322
cut_low-src_red-max,3,222913,186,PARTITION_5,106453,495132
cut_low-src_red-max,3,222913,225,PARTITION_2,90986,598950
cut_low-src_red-max,4,222913,660,PARTITION_1,143811,1756920
cut_low-src_red-max,4,222913,335,PARTITION_2,103696,891770
cut_low-src_red-max,5,222913,700,PARTITION_7,146661,1863400
cut_low-src_red-max,5,222913,340,PARTITION_2,100374,905080
cut_low-src_red-max,6,222913,725,PARTITION_6,167493,1929950
cut_low-src_red-max,6,222913,229,PARTITION_2,80932,609598
cut_low-src_red-max,7,222913,918,PARTITION_10,191141,2443716
cut_low-src_red-max,7,222913,111,PARTITION_2,56565,295482
cut_red-max,0,222913,99,PARTITION_8,18728,263538
cut_red-max,0,222913,969,PARTITION_0,204350,2579478
cut_red-max,1,222913,109,PARTITION_3,20927,290158
cut_red-max,1,222913,485,PARTITION_0,141484,1291070
cut_red-max,1,222913,107,PARTITION_5,68205,284834
cut_red-max,2,222913,339,PARTITION_4,34665,902418
cut_red-max,2,222913,429,PARTITION_5,203270,1141998
cut_red-max,3,222913,431,PARTITION_9,50250,1147322
cut_red-max,3,222913,182,PARTITION_5,103611,484484
cut_red-max,3,222913,233,PARTITION_2,94205,620246
cut_red-max,4,222913,660,PARTITION_1,143811,1756920
cut_red-max,4,222913,329,PARTITION_2,101050,875798
cut_red-max,5,222913,700,PARTITION_7,146661,1863400
cut_red-max,5,222913,363,PARTITION_2,107885,966306
cut_red-max,6,222913,725,PARTITION_6,167493,1929950
cut_red-max,6,222913,248,PARTITION_2,91664,660176
cut_red-max,7,222913,918,PARTITION_10,191141,2443716
cut_red-max,7,222913,118,PARTITION_2,66143,314116
cut_adj-lmt,0,222913,99,PARTITION_8,18728,263538
cut_adj-lmt,0,222913,1066,PARTITION_0,225815,2837692
cut_adj-lmt,1,222913,109,PARTITION_3,20927,290158
cut_adj-lmt,1,222913,388,PARTITION_0,119795,1032856
cut_adj-lmt,1,222913,169,PARTITION_5,104160,449878
cut_adj-lmt,2,222913,339,PARTITION_4,34665,902418
cut_adj-lmt,2,222913,471,PARTITION_5,210040,1253802
cut_adj-lmt,3,222913,431,PARTITION_9,50250,1147322
cut_adj-lmt,3,222913,78,PARTITION_5,55786,207636
cut_adj-lmt,3,222913,408,PARTITION_2,138517,1086096
cut_adj-lmt,4,222913,660,PARTITION_1,143811,1756920
cut_adj-lmt,4,222913,341,PARTITION_2,100650,907742
cut_adj-lmt,5,222913,700,PARTITION_7,146661,1863400
cut_adj-lmt,5,222913,295,PARTITION_2,97803,785290
