description,bin,lower_bound,sites,partition,op_optimized,op_maximum
odda,0,86393,33,5.8S,5448,12903
odda,0,86393,354,cprs,43875,138414
odda,0,86393,423,ndhf1st,47259,165393
odda,1,86393,241,its2,41359,94231
odda,1,86393,386,rpoc23rd,34787,150926
odda,1,86393,181,ndhf1st,96585,386308
odda,2,86393,268,gbss13rd,21652,104788
odda,2,86393,542,phyb3rd,64351,211922
odda,3,86393,354,rbcl1st,31146,138414
odda,3,86393,72,phyb3rd,70717,240074
odda,3,86393,384,ndhf1st,40405,150144
cut,0,86393,354,rbcl1st,31146,138414
cut,0,86393,442,phyb3rd,55384,172822
cut,1,86393,386,rpoc23rd,34787,150926
cut,1,86393,172,phyb3rd,21984,67252
cut,1,86393,305,ndhf1st,32711,119255
cut,2,86393,33,5.8S,5448,12903
cut,2,86393,241,its2,41359,94231
cut,2,86393,419,ndhf1st,47531,163829
cut,3,86393,268,gbss13rd,21652,104788
cut,3,86393,354,cprs,43875,138414
cut,3,86393,264,ndhf1st,32246,103224
cut_low-src,0,86393,354,rbcl1st,31146,138414
cut_low-src,0,86393,452,phyb3rd,56390,176732
cut_low-src,0,86393,16,ndhf1st,4602,6256
cut_low-src,1,86393,386,rpoc23rd,34787,150926
cut_low-src,1,86393,162,phyb3rd,19743,63342
cut_low-src,1,86393,326,ndhf1st,37753,127466
cut_low-src,2,86393,33,5.8S,5448,12903
cut_low-src,2,86393,241,its2,41359,94231
cut_low-src,2,86393,409,ndhf1st,45395,159919
cut_low-src,3,86393,268,gbss13rd,21652,104788
cut_low-src,3,86393,354,cprs,43875,138414
cut_low-src,3,86393,237,ndhf1st,26665,92667
cut_low-src_red-max,0,86393,354,rbcl1st,31146,138414
cut_low-src_red-max,0,86393,450,phyb3rd,55888,175950
cut_low-src_red-max,0,86393,18,ndhf1st,5276,7038
cut_low-src_red-max,1,86393,386,rpoc23rd,34787,150926
cut_low-src_red-max,1,86393,164,phyb3rd,20423,64124
cut_low-src_red-max,1,86393,325,ndhf1st,37437,127075
cut_low-src_red-max,2,86393,33,5.8S,5448,12903
cut_low-src_red-max,2,86393,241,its2,41359,94231
cut_low-src_red-max,2,86393,410,ndhf1st,45657,160310
cut_low-src_red-max,3,86393,268,gbss13rd,21652,104788
cut_low-src_red-max,3,86393,354,cprs,43875,138414
cut_low-src_red-max,3,86393,235,ndhf1st,26139,91885
cut_red-max,0,86393,354,rbcl1st,31146,138414
cut_red-max,0,86393,442,phyb3rd,55384,172822
cut_red-max,1,86393,386,rpoc23rd,34787,150926
cut_red-max,1,86393,172,phyb3rd,21984,67252
cut_red-max,1,86393,315,ndhf1st,35426,123165
cut_red-max,2,86393,33,5.8S,5448,12903
cut_red-max,2,86393,241,its2,41359,94231
cut_red-max,2,86393,419,ndhf1st,47531,163829
cut_red-max,3,86393,268,gbss13rd,21652,104788
cut_red-max,3,86393,354,cprs,43875,138414
cut_red-max,3,86393,254,ndhf1st,29790,99314
cut_adj-lmt,0,86393,354,rbcl1st,31146,138414
cut_adj-lmt,0,86393,505,phyb3rd,60894,197455
cut_adj-lmt,1,86393,386,rpoc23rd,34787,150926
