description,bin,lower_bound,sites,partition,op_optimized,op_maximum
odda,0,134933,74,ZFX,11857,67340
odda,0,134933,210,tRNAs,211898,855400
odda,0,134933,337,ND4,122032,306670
odda,1,134933,149,BMI,18157,135590
odda,1,134933,472,ND4,167605,429520
odda,2,134933,190,ATP8,74261,172900
odda,2,134933,207,ND4,318708,924560
odda,2,134933,224,APOB,33292,203840
odda,3,134933,215,ADORA3,31290,195650
odda,3,134933,406,APOB,49755,369460
odda,4,134933,224,PNOC,27722,203840
odda,4,134933,397,APOB,50884,361270
odda,5,134933,230,BDNF,31611,209300
odda,5,134933,68,APOB,118362,996450
odda,5,134933,323,ND5,119950,293930
odda,6,134933,234,ND4L,89462,212940
odda,6,134933,387,ND5,143617,352170
odda,7,134933,239,RAG2,27044,217490
odda,7,134933,382,ND5,136189,347620
odda,8,134933,253,TYR,32661,230230
odda,8,134933,301,ND5,421892,1267630
odda,8,134933,67,BRCA1,13443,60970
odda,9,134933,265,ND3,102305,241150
odda,9,134933,356,BRCA1,53277,323960
odda,10,134933,323,CREM,39995,293930
odda,10,134933,298,BRCA1,46806,271180
odda,11,134933,348,PLCB4,47952,316680
odda,11,134933,273,BRCA1,37891,248430
odda,12,134933,383,CNR1,47707,348530
odda,12,134933,238,BRCA1,39068,216580
odda,13,134933,408,ADRB2,49423,371280
odda,13,134933,213,BRCA1,39034,193830
odda,14,134933,436,RAG1,54399,396760
odda,14,134933,185,BRCA1,35835,168350
odda,15,134933,457,ATP7A,51856,415870
odda,15,134933,164,BRCA1,30040,149240
odda,16,134933,463,EDG1,49413,421330
odda,16,134933,158,BRCA1,30932,143780
odda,17,134933,467,ND6,144902,424970
odda,17,134933,154,BRCA1,27315,140140
odda,18,134933,467,COX2,160122,424970
odda,18,134933,154,BRCA1,27811,140140
odda,19,134933,474,APP,52673,431340
odda,19,134933,147,BRCA1,24637,133770
odda,20,134933,484,COX3,176851,440440
odda,20,134933,137,BRCA1,25092,124670
odda,21,134933,498,ATP6,171861,453180
odda,21,134933,123,BRCA1,23819,111930
odda,22,134933,571,12S_rRNA,142511,519610
odda,22,134933,44,BRCA1,285527,2467010
odda,23,134933,621,tRNAs,151578,565110
odda,24,134933,512,IRBP,136776,847210
odda,24,134933,109,tRNAs,32187,99190
odda,25,134933,202,ND2,270380,787150
odda,25,134933,419,IRBP,68721,381290
odda,26,134933,621,ND2,201652,565110
odda,27,134933,579,COX1,264821,741650
odda,27,134933,42,ND2,20345,38220
odda,28,134933,385,16S_rRNA,192099,736190
odda,28,134933,236,COX1,90004,214760
odda,29,134933,197,Cytb,255506,700700
odda,29,134933,424,16S_rRNA,115138,385840
odda,30,134933,48,ND1,205835,608790
odda,30,134933,573,Cytb,199460,521430
odda,31,134933,621,ND1,193184,565110
cut,0,134933,920,IRBP,134976,837200
cut,1,134933,11,IRBP,4571,10010
cut,1,134933,492,12S_rRNA,130592,447720
cut,2,134933,79,12S_rRNA,21535,71890
cut,2,134933,344,ND6,114032,313040
cut,3,134933,123,ND6,45290,111930
cut,3,134933,244,COX2,90871,222040
cut,4,134933,223,COX2,86718,202930
cut,4,134933,125,ATP6,50429,113750
cut,5,134933,373,ATP6,136613,339430
cut,5,134933,2,COX3,1820,1820
cut,6,134933,358,COX3,137894,325780
cut,7,134933,124,COX3,54061,112840
cut,7,134933,289,16S_rRNA,84642,262990
cut,8,134933,520,16S_rRNA,130048,473200
cut,8,134933,19,ND1,10352,17290
cut,9,134933,424,ND1,140405,385840
cut,10,134933,226,ND1,83821,205660
cut,10,134933,218,tRNAs,58168,198380
cut,11,134933,577,tRNAs,143282,525070
cut,12,134933,145,tRNAs,45440,131950
cut,12,134933,259,Cytb,99433,235690
cut,13,134933,74,ZFX,11857,67340
cut,13,134933,355,Cytb,133764,323050
cut,14,134933,149,BMI,18157,135590
cut,14,134933,156,Cytb,65738,141960
cut,14,134933,159,COX1,62730,144690
cut,15,134933,239,RAG2,27044,217490
cut,15,134933,308,COX1,120000,280280
cut,16,134933,224,PNOC,27722,203840
cut,16,134933,335,COX1,121200,304850
cut,17,134933,215,ADORA3,31290,195650
cut,17,134933,13,COX1,5632,11830
cut,17,134933,316,ND2,111769,287560
cut,18,134933,230,BDNF,31611,209300
cut,18,134933,330,ND2,119725,300300
cut,19,134933,253,TYR,32661,230230
cut,19,134933,219,ND2,85743,199290
cut,19,134933,223,BRCA1,34807,202930
cut,20,134933,323,CREM,39995,293930
cut,20,134933,934,BRCA1,113674,849940
cut,21,134933,383,CNR1,47707,348530
cut,21,134933,772,BRCA1,107814,702520
cut,22,134933,348,PLCB4,47952,316680
cut,22,134933,782,BRCA1,97910,711620
cut,22,134933,26,ND4,12817,23660
cut,23,134933,463,EDG1,49413,421330
cut,23,134933,293,ND4,110301,266630
cut,24,134933,408,ADRB2,49423,371280
cut,24,134933,292,ND4,115167,265720
cut,25,134933,457,ATP7A,51856,415870
cut,25,134933,323,ND4,117328,293930
cut,26,134933,474,APP,52673,431340
cut,26,134933,82,ND4,39644,74620
cut,26,134933,186,ND5,79720,169260
cut,27,134933,436,RAG1,54399,396760
cut,27,134933,347,ND5,126621,315770
cut,28,134933,190,ATP8,74261,172900
cut,28,134933,290,ND5,109388,263900
cut,29,134933,234,ND4L,89462,212940
cut,29,134933,251,ND5,95862,228410
cut,30,134933,265,ND3,102305,241150
cut,30,134933,200,ND5,83184,182000
cut,31,134933,1095,APOB,118362,996450
cut,31,134933,119,ND5,54666,108290
