description,bin,lower_bound,sites,partition,op_optimized,op_maximum
odda,0,100397,123,gene172,4048,6273
odda,0,100397,401,gene186,11800,20451
odda,0,100397,552,gene9,15636,28152
odda,0,100397,795,gene130,21452,40545
odda,0,100397,1208,gene278,29752,61608
odda,0,100397,779,gene253,22012,39729
odda,1,100397,136,gene57,4459,6936
odda,1,100397,404,gene220,11628,20604
odda,1,100397,559,gene236,15100,28509
odda,1,100397,805,gene175,22048,41055
odda,1,100397,1226,gene243,30420,62526
odda,1,100397,20,gene253,73112,167994
odda,1,100397,708,gene302,18820,36108
odda,2,100397,141,gene171,4547,7191
odda,2,100397,405,gene147,11848,20655
odda,2,100397,559,gene81,15708,28509
odda,2,100397,808,gene40,21672,41208
odda,2,100397,1241,gene252,30772,63291
odda,2,100397,704,gene302,19432,35904
odda,3,100397,147,gene51,4827,7497
odda,3,100397,407,gene113,11888,20757
odda,3,100397,573,gene223,15696,29223
odda,3,100397,811,gene50,21764,41361
odda,3,100397,1244,gene121,31664,63444
odda,3,100397,676,gene302,19364,34476
odda,4,100397,158,gene42,5208,8058
odda,4,100397,411,gene101,12144,20961
odda,4,100397,585,gene263,15948,29835
odda,4,100397,811,gene103,21584,41361
odda,4,100397,1250,gene219,31024,63750
odda,4,100397,643,gene302,18792,32793
odda,5,100397,166,gene191,5485,8466
odda,5,100397,414,gene62,11888,21114
odda,5,100397,585,gene181,16284,29835
odda,5,100397,817,gene270,21352,41667
odda,5,100397,1259,gene85,32164,64209
odda,5,100397,617,gene302,18316,31467
odda,6,100397,170,gene93,5398,8670
odda,6,100397,415,gene79,12364,21165
odda,6,100397,591,gene185,16204,30141
odda,6,100397,820,gene123,21960,41820
odda,6,100397,1275,gene281,31356,65025
odda,6,100397,76,gene302,76328,174624
odda,6,100397,511,gene264,14376,26061
odda,7,100397,175,gene38,5763,8925
odda,7,100397,416,gene16,12028,21216
odda,7,100397,596,gene139,16644,30396
odda,7,100397,828,gene273,21708,42228
odda,7,100397,1276,gene124,32308,65076
odda,7,100397,567,gene264,16096,28917
odda,8,100397,179,gene12,5697,9129
odda,8,100397,423,gene44,12239,21573
