description,bin,lower_bound,sites,partition,op_optimized,op_maximum
odda,0,27865,99,PARTITION_8,18728,263538
odda,1,27865,109,PARTITION_3,20927,290158
odda,2,27865,105,PARTITION_4,34665,902418
odda,2,27865,12,PARTITION_9,4688,31944
odda,3,27865,117,PARTITION_9,20902,311454
odda,4,27865,117,PARTITION_9,20673,311454
odda,5,27865,117,PARTITION_9,20053,311454
odda,6,27865,68,PARTITION_9,50250,1147322
odda,6,27865,49,PARTITION_1,20826,130438
odda,7,27865,117,PARTITION_1,36553,311454
odda,8,27865,117,PARTITION_1,37867,311454
odda,9,27865,117,PARTITION_1,36420,311454
odda,10,27865,117,PARTITION_1,31898,311454
odda,11,27865,117,PARTITION_1,35190,311454
odda,12,27865,26,PARTITION_1,143811,1756920
odda,12,27865,91,PARTITION_7,28041,242242
odda,13,27865,117,PARTITION_7,35708,311454
odda,14,27865,117,PARTITION_7,39045,311454
odda,15,27865,117,PARTITION_7,35355,311454
odda,16,27865,117,PARTITION_7,33821,311454
odda,17,27865,117,PARTITION_7,31912,311454
odda,18,27865,24,PARTITION_7,146661,1863400
odda,18,27865,93,PARTITION_5,59776,247566
odda,19,27865,117,PARTITION_5,80227,311454
odda,20,27865,117,PARTITION_5,65312,311454
odda,21,27865,117,PARTITION_5,49848,311454
odda,22,27865,117,PARTITION_5,79111,311454
odda,23,27865,117,PARTITION_5,70091,311454
odda,24,27865,40,PARTITION_5,322950,1911316
odda,24,27865,77,PARTITION_6,34463,204974
odda,25,27865,117,PARTITION_6,31016,311454
odda,26,27865,117,PARTITION_6,35261,311454
odda,27,27865,117,PARTITION_6,38091,311454
odda,28,27865,117,PARTITION_6,33827,311454
odda,29,27865,117,PARTITION_6,38073,311454
odda,30,27865,63,PARTITION_6,167493,1929950
odda,30,27865,54,PARTITION_10,22457,143748
odda,31,27865,117,PARTITION_10,36556,311454
odda,32,27865,117,PARTITION_10,39425,311454
odda,33,27865,117,PARTITION_10,39094,311454
odda,34,27865,117,PARTITION_10,42031,311454
odda,35,27865,117,PARTITION_10,38951,311454
odda,36,27865,117,PARTITION_10,39971,311454
odda,37,27865,117,PARTITION_10,40223,311454
odda,38,27865,45,PARTITION_10,191141,2443716
odda,38,27865,72,PARTITION_2,43785,191664
odda,39,27865,117,PARTITION_2,45501,311454
odda,40,27865,117,PARTITION_2,44025,311454
odda,41,27865,117,PARTITION_2,47050,311454
odda,42,27865,117,PARTITION_2,42902,311454
odda,43,27865,117,PARTITION_2,40719,311454
odda,44,27865,117,PARTITION_2,46602,311454
odda,45,27865,117,PARTITION_2,39651,311454
odda,46,27865,117,PARTITION_2,50835,311454
odda,47,27865,117,PARTITION_2,48718,311454
odda,48,27865,99,PARTITION_0,315899,3870548
odda,49,27865,49,PARTITION_2,370779,3436642
odda,49,27865,68,PARTITION_0,23357,181016
odda,50,27865,117,PARTITION_0,28922,311454
odda,51,27865,117,PARTITION_0,32025,311454
odda,52,27865,117,PARTITION_0,31980,311454
odda,53,27865,117,PARTITION_0,37162,311454
odda,54,27865,117,PARTITION_0,33940,311454
odda,55,27865,117,PARTITION_0,39692,311454
odda,56,27865,117,PARTITION_0,47103,311454
odda,57,27865,117,PARTITION_0,41527,311454
odda,58,27865,117,PARTITION_0,44883,311454
odda,59,27865,117,PARTITION_0,43416,311454
odda,60,27865,117,PARTITION_0,48933,311454
odda,61,27865,117,PARTITION_2,59410,311454
odda,62,27865,117,PARTITION_4,18387,311454
odda,63,27865,117,PARTITION_4,16030,311454
cut,0,27865,238,PARTITION_4,27902,633556
cut,1,27865,101,PARTITION_4,15647,268862
cut,1,27865,63,PARTITION_9,12438,167706
cut,2,27865,185,PARTITION_9,28257,492470
cut,3,27865,183,PARTITION_9,27612,487146
cut,3,27865,1,PARTITION_1,2662,2662
cut,4,27865,82,PARTITION_1,28367,218284
cut,5,27865,75,PARTITION_1,28797,199650
cut,6,27865,82,PARTITION_1,29128,218284
cut,7,27865,77,PARTITION_1,29214,204974
cut,8,27865,104,PARTITION_1,29170,276848
cut,9,27865,99,PARTITION_1,29448,263538
cut,10,27865,100,PARTITION_1,29785,266200
cut,11,27865,40,PARTITION_1,16700,106480
cut,11,27865,28,PARTITION_7,13183,74536
cut,12,27865,97,PARTITION_7,30140,258214
cut,13,27865,95,PARTITION_7,30178,252890
cut,14,27865,84,PARTITION_7,30384,223608
cut,15,27865,86,PARTITION_7,30870,228932
cut,16,27865,104,PARTITION_7,31290,276848
cut,17,27865,101,PARTITION_7,31251,268862
cut,18,27865,105,PARTITION_7,30314,279510
cut,18,27865,1,PARTITION_6,2662,2662
cut,19,27865,60,PARTITION_6,31648,159720
cut,20,27865,121,PARTITION_6,31756,322102
cut,21,27865,107,PARTITION_6,32064,284834
cut,22,27865,107,PARTITION_6,32456,284834
cut,23,27865,105,PARTITION_6,32665,279510
cut,24,27865,110,PARTITION_6,32963,292820
cut,25,27865,75,PARTITION_6,33325,199650
cut,26,27865,39,PARTITION_6,15924,103818
cut,26,27865,30,PARTITION_10,17448,79860
cut,27,27865,107,PARTITION_10,33824,284834
cut,28,27865,98,PARTITION_10,34398,260876
cut,29,27865,102,PARTITION_10,34994,271524
cut,30,27865,99,PARTITION_10,35379,263538
cut,31,27865,91,PARTITION_10,35868,242242
cut,32,27865,107,PARTITION_10,36364,284834
cut,33,27865,97,PARTITION_10,37047,258214
cut,34,27865,117,PARTITION_10,37169,311454
cut,35,27865,70,PARTITION_10,25950,186340
cut,35,27865,19,PARTITION_0,11626,50578
cut,36,27865,164,PARTITION_0,37954,436568
cut,37,27865,156,PARTITION_0,38621,415272
cut,38,27865,133,PARTITION_0,39214,354046
cut,39,27865,148,PARTITION_0,39994,393976
cut,40,27865,137,PARTITION_0,40618,364694
cut,41,27865,101,PARTITION_0,41080,268862
cut,42,27865,107,PARTITION_0,42304,284834
cut,43,27865,116,PARTITION_0,42876,308792
cut,44,27865,118,PARTITION_0,43650,314116
cut,45,27865,100,PARTITION_0,44398,266200
cut,46,27865,128,PARTITION_0,45293,340736
cut,47,27865,27,PARTITION_0,14183,71874
cut,47,27865,45,PARTITION_5,31376,119790
cut,48,27865,63,PARTITION_5,47306,167706
cut,49,27865,61,PARTITION_5,48641,162382
cut,50,27865,86,PARTITION_5,49227,228932
cut,51,27865,73,PARTITION_5,51433,194326
cut,52,27865,120,PARTITION_5,52899,319440
cut,53,27865,70,PARTITION_5,54687,186340
cut,54,27865,97,PARTITION_5,56826,258214
cut,55,27865,84,PARTITION_5,59119,223608
cut,56,27865,19,PARTITION_5,22645,50578
cut,56,27865,56,PARTITION_2,37611,149072
cut,57,27865,169,PARTITION_2,62679,449878
cut,58,27865,195,PARTITION_2,67564,519090
cut,59,27865,244,PARTITION_2,73519,649528
cut,60,27865,251,PARTITION_2,81972,668162
cut,61,27865,255,PARTITION_2,94150,678810
cut,62,27865,99,PARTITION_8,18728,263538
cut,62,27865,69,PARTITION_2,38734,183678
cut,63,27865,109,PARTITION_3,20927,290158
cut,63,27865,52,PARTITION_2,35569,138424
cut_low-src,0,27865,246,PARTITION_4,28653,654852
cut_low-src,0,27865,9,PARTITION_2,13739,23958
cut_low-src,1,27865,93,PARTITION_4,13909,247566
cut_low-src,1,27865,56,PARTITION_9,10839,149072
cut_low-src,1,27865,13,PARTITION_2,16558,34606
cut_low-src,2,27865,189,PARTITION_9,27866,503118
cut_low-src,2,27865,9,PARTITION_2,13346,23958
cut_low-src,3,27865,186,PARTITION_9,27209,495132
cut_low-src,3,27865,1,PARTITION_1,2662,2662
cut_low-src,3,27865,7,PARTITION_2,12607,18634
cut_low-src,4,27865,82,PARTITION_1,28469,218284
cut_low-src,4,27865,9,PARTITION_2,13643,23958
cut_low-src,5,27865,71,PARTITION_1,26568,189002
cut_low-src,5,27865,10,PARTITION_2,14879,26620
