description,bin,lower_bound,sites,partition,op_optimized,op_maximum
odda,0,61920,161,gene86,5085,8211
odda,0,61920,540,gene77,14320,27540
odda,0,61920,755,gene33,20788,38505
odda,0,61920,943,gene73,24384,48093
odda,1,61920,167,gene8,5334,8517
odda,1,61920,550,gene48,15152,28050
odda,1,61920,761,gene35,20812,38811
odda,1,61920,61,gene73,37728,83079
odda,1,61920,860,gene22,23044,43860
odda,2,61920,172,gene15,5552,8772
odda,2,61920,556,gene44,15252,28356
odda,2,61920,808,gene94,20304,41208
odda,2,61920,863,gene22,23876,44013
odda,3,61920,192,gene42,6260,9792
odda,3,61920,563,gene5,15724,28713
odda,3,61920,808,gene87,20608,41208
odda,3,61920,40,gene22,43204,89913
odda,3,61920,796,gene70,21012,40596
odda,4,61920,205,gene1,6456,10455
odda,4,61920,565,gene83,15144,28815
odda,4,61920,855,gene96,21304,43605
odda,4,61920,774,gene70,21048,39474
odda,5,61920,205,gene2,6640,10455
odda,5,61920,569,gene10,16052,29019
odda,5,61920,862,gene46,21892,43962
odda,5,61920,310,gene70,44488,95880
odda,5,61920,453,gene26,13144,23103
odda,6,61920,207,gene17,6828,10557
odda,6,61920,576,gene100,15200,29376
odda,6,61920,866,gene11,23540,44166
odda,6,61920,750,gene26,21256,38250
odda,7,61920,208,gene3,6498,10608
odda,7,61920,578,gene49,15528,29478
odda,7,61920,879,gene61,22480,44829
odda,7,61920,734,gene26,20636,37434
odda,8,61920,220,gene32,6910,11220
odda,8,61920,579,gene69,15612,29529
odda,8,61920,927,gene88,23076,47277
odda,8,61920,379,gene26,54648,118116
odda,8,61920,294,gene50,8948,14994
odda,9,61920,241,gene75,7077,12291
odda,9,61920,585,gene29,16240,29835
odda,9,61920,930,gene38,24268,47430
odda,9,61920,643,gene50,17484,32793
odda,10,61920,281,gene6,8516,14331
odda,10,61920,592,gene14,16860,30192
odda,10,61920,953,gene54,24276,48603
odda,10,61920,573,gene50,16256,29223
odda,11,61920,287,gene64,8612,14637
odda,11,61920,600,gene21,16960,30600
odda,11,61920,978,gene92,23860,49878
odda,11,61920,534,gene50,15608,27234
odda,12,61920,298,gene9,9155,15198
odda,12,61920,602,gene18,16896,30702
odda,12,61920,1013,gene39,25900,51663
odda,12,61920,365,gene50,55164,122859
odda,12,61920,121,gene99,3936,6171
odda,13,61920,307,gene97,8671,15657
odda,13,61920,604,gene36,16660,30804
odda,13,61920,1022,gene65,25992,52122
odda,13,61920,466,gene99,13136,23766
odda,14,61920,320,gene24,9651,16320
odda,14,61920,605,gene67,16384,30855
odda,14,61920,1064,gene66,26936,54264
odda,14,61920,410,gene99,12300,20910
odda,15,61920,346,gene63,10076,17646
odda,15,61920,605,gene7,16944,30855
odda,15,61920,1065,gene90,26116,54315
odda,15,61920,383,gene99,11704,19533
odda,16,61920,355,gene95,9916,18105
odda,16,61920,618,gene74,16304,31518
odda,16,61920,1067,gene53,27548,54417
odda,16,61920,359,gene99,11108,18309
odda,17,61920,358,gene28,10628,18258
odda,17,61920,627,gene58,17096,31977
odda,17,61920,1102,gene68,27580,56202
odda,17,61920,312,gene99,9912,15912
odda,18,61920,378,gene4,11280,19278
odda,18,61920,628,gene31,17280,32028
odda,18,61920,1105,gene56,28020,56355
odda,18,61920,288,gene99,9484,14688
odda,19,61920,382,gene79,10596,19482
odda,19,61920,633,gene27,17796,32283
odda,19,61920,1168,gene57,29192,59568
odda,19,61920,216,gene99,7452,11016
odda,20,61920,408,gene19,11844,20808
odda,20,61920,657,gene13,18152,33507
odda,20,61920,1192,gene59,29592,60792
odda,20,61920,142,gene99,5175,7242
odda,21,61920,409,gene71,11179,20859
odda,21,61920,659,gene78,16772,33609
odda,21,61920,1252,gene81,29868,63852
odda,21,61920,79,gene99,3077,4029
odda,22,61920,424,gene76,11580,21624
odda,22,61920,665,gene25,18196,33915
odda,22,61920,1256,gene47,31276,64056
odda,22,61920,40,gene99,63632,143616
odda,23,61920,428,gene45,12332,21828
odda,23,61920,668,gene12,18280,34068
odda,23,61920,1303,gene41,32244,66453
odda,24,61920,457,gene23,12892,23307
odda,24,61920,679,gene51,18040,34629
odda,24,61920,1263,gene82,30160,64413
odda,25,61920,474,gene85,12899,24174
odda,25,61920,682,gene62,18192,34782
odda,25,61920,128,gene82,32892,70941
odda,25,61920,1115,gene55,28072,56865
odda,26,61920,488,gene30,14096,24888
odda,26,61920,691,gene93,17936,35241
odda,26,61920,287,gene55,34348,71502
odda,26,61920,933,gene43,23644,47583
odda,27,61920,493,gene40,13512,25143
odda,27,61920,693,gene72,18052,35343
odda,27,61920,550,gene43,35560,75633
odda,27,61920,663,gene80,17164,33813
odda,28,61920,507,gene89,13436,25857
odda,28,61920,694,gene16,19168,35394
odda,28,61920,843,gene80,35316,76806
odda,28,61920,355,gene60,10492,18105
odda,29,61920,512,gene20,14524,26112
odda,29,61920,721,gene98,18328,36771
odda,29,61920,1166,gene60,29944,59466
odda,30,61920,521,gene84,14015,26571
odda,30,61920,735,gene37,19968,37485
odda,30,61920,43,gene60,38120,79764
odda,30,61920,1100,gene91,26928,56100
odda,31,61920,529,gene34,15236,26979
odda,31,61920,752,gene52,19792,38352
odda,31,61920,493,gene91,37280,81243
odda,31,61920,625,gene73,16084,31875
cut,0,61920,428,gene45,12332,21828
cut,0,61920,693,gene72,18052,35343
cut,0,61920,1272,gene41,31556,64872
cut,1,61920,457,gene23,12892,23307
cut,1,61920,657,gene13,18152,33507
cut,1,61920,31,gene41,1290,1581
cut,1,61920,1239,gene82,29628,63189
cut,2,61920,474,gene85,12899,24174
cut,2,61920,682,gene62,18192,34782
cut,2,61920,152,gene82,5423,7752
cut,2,61920,1001,gene55,25596,51051
cut,3,61920,507,gene89,13436,25857
cut,3,61920,665,gene25,18196,33915
cut,3,61920,401,gene55,12172,20451
cut,3,61920,728,gene80,18528,37128
cut,4,61920,493,gene40,13512,25143
cut,4,61920,668,gene12,18280,34068
cut,4,61920,778,gene80,20804,39678
