description,bin,lower_bound,sites,partition,op_optimized,op_maximum
odda,0,495355,161,gene86,5085,8211
odda,0,495355,205,gene1,6456,10455
odda,0,495355,220,gene32,6910,11220
odda,0,495355,298,gene9,9155,15198
odda,0,495355,355,gene95,9916,18105
odda,0,495355,408,gene19,11844,20808
odda,0,495355,457,gene23,12892,23307
odda,0,495355,507,gene89,13436,25857
odda,0,495355,540,gene77,14320,27540
odda,0,495355,565,gene83,15144,28815
odda,0,495355,579,gene69,15612,29529
odda,0,495355,602,gene18,16896,30702
odda,0,495355,618,gene74,16304,31518
odda,0,495355,657,gene13,18152,33507
odda,0,495355,679,gene51,18040,34629
odda,0,495355,694,gene16,19168,35394
odda,0,495355,755,gene33,20788,38505
odda,0,495355,855,gene96,21304,43605
odda,0,495355,927,gene88,23076,47277
odda,0,495355,1013,gene39,25900,51663
odda,0,495355,1067,gene53,27548,54417
odda,0,495355,1192,gene59,29592,60792
odda,0,495355,1391,gene82,32892,70941
odda,0,495355,1564,gene60,38120,79764
odda,0,495355,1880,gene70,44488,95880
odda,0,495355,1000,gene99,26968,51000
odda,1,495355,167,gene8,5334,8517
odda,1,495355,205,gene2,6640,10455
odda,1,495355,241,gene75,7077,12291
odda,1,495355,307,gene97,8671,15657
odda,1,495355,358,gene28,10628,18258
odda,1,495355,409,gene71,11179,20859
odda,1,495355,474,gene85,12899,24174
odda,1,495355,512,gene20,14524,26112
odda,1,495355,550,gene48,15152,28050
odda,1,495355,569,gene10,16052,29019
odda,1,495355,585,gene29,16240,29835
odda,1,495355,604,gene36,16660,30804
odda,1,495355,627,gene58,17096,31977
odda,1,495355,659,gene78,16772,33609
odda,1,495355,682,gene62,18192,34782
odda,1,495355,721,gene98,18328,36771
odda,1,495355,761,gene35,20812,38811
odda,1,495355,862,gene46,21892,43962
odda,1,495355,930,gene38,24268,47430
odda,1,495355,1022,gene65,25992,52122
odda,1,495355,1102,gene68,27580,56202
odda,1,495355,1252,gene81,29868,63852
odda,1,495355,1402,gene55,34348,71502
odda,1,495355,1593,gene91,37280,81243
odda,1,495355,2316,gene26,54648,118116
odda,1,495355,277,gene99,63632,143616
odda,2,495355,172,gene15,5552,8772
odda,2,495355,207,gene17,6828,10557
odda,2,495355,281,gene6,8516,14331
odda,2,495355,320,gene24,9651,16320
odda,2,495355,378,gene4,11280,19278
odda,2,495355,424,gene76,11580,21624
odda,2,495355,488,gene30,14096,24888
odda,2,495355,521,gene84,14015,26571
odda,2,495355,556,gene44,15252,28356
odda,2,495355,576,gene100,15200,29376
odda,2,495355,592,gene14,16860,30192
odda,2,495355,605,gene67,16384,30855
odda,2,495355,628,gene31,17280,32028
odda,2,495355,665,gene25,18196,33915
odda,2,495355,691,gene93,17936,35241
odda,2,495355,735,gene37,19968,37485
odda,2,495355,808,gene94,20304,41208
odda,2,495355,866,gene11,23540,44166
odda,2,495355,953,gene54,24276,48603
odda,2,495355,1064,gene66,26936,54264
odda,2,495355,1105,gene56,28020,56355
odda,2,495355,1256,gene47,31276,64056
odda,2,495355,1483,gene43,35560,75633
odda,2,495355,1629,gene73,37728,83079
odda,2,495355,2186,gene50,50420,111486
odda,3,495355,192,gene42,6260,9792
odda,3,495355,208,gene3,6498,10608
odda,3,495355,287,gene64,8612,14637
odda,3,495355,346,gene63,10076,17646
odda,3,495355,382,gene79,10596,19482
odda,3,495355,428,gene45,12332,21828
odda,3,495355,493,gene40,13512,25143
odda,3,495355,529,gene34,15236,26979
odda,3,495355,563,gene5,15724,28713
odda,3,495355,578,gene49,15528,29478
odda,3,495355,600,gene21,16960,30600
odda,3,495355,605,gene7,16944,30855
odda,3,495355,633,gene27,17796,32283
odda,3,495355,668,gene12,18280,34068
odda,3,495355,693,gene72,18052,35343
odda,3,495355,752,gene52,19792,38352
odda,3,495355,808,gene87,20608,41208
odda,3,495355,879,gene61,22480,44829
odda,3,495355,978,gene92,23860,49878
odda,3,495355,1065,gene90,26116,54315
odda,3,495355,1168,gene57,29192,59568
