description,bin,lower_bound,sites,partition,op_optimized,op_maximum
odda,0,891652,99,PARTITION_8,18728,263538
odda,0,891652,339,PARTITION_4,34665,902418
odda,0,891652,660,PARTITION_1,143811,1756920
odda,0,891652,718,PARTITION_5,322950,1911316
odda,0,891652,918,PARTITION_10,191141,2443716
odda,0,891652,988,PARTITION_0,208826,2630056
odda,1,891652,109,PARTITION_3,20927,290158
odda,1,891652,431,PARTITION_9,50250,1147322
odda,1,891652,700,PARTITION_7,146661,1863400
odda,1,891652,725,PARTITION_6,167493,1929950
odda,1,891652,1291,PARTITION_2,370779,3436642
odda,1,891652,466,PARTITION_0,315899,3870548
cut,0,891652,99,PARTITION_8,18728,263538
cut,0,891652,339,PARTITION_4,34665,902418
cut,0,891652,660,PARTITION_1,143811,1756920
cut,0,891652,725,PARTITION_6,167493,1929950
cut,0,891652,1454,PARTITION_0,315899,3870548
cut,0,891652,732,PARTITION_2,211376,1948584
cut,1,891652,109,PARTITION_3,20927,290158
cut,1,891652,431,PARTITION_9,50250,1147322
cut,1,891652,700,PARTITION_7,146661,1863400
cut,1,891652,918,PARTITION_10,191141,2443716
cut,1,891652,718,PARTITION_5,322950,1911316
cut,1,891652,559,PARTITION_2,196165,1488058
cut_low-src,0,891652,99,PARTITION_8,18728,263538
cut_low-src,0,891652,339,PARTITION_4,34665,902418
cut_low-src,0,891652,660,PARTITION_1,143811,1756920
cut_low-src,0,891652,725,PARTITION_6,167493,1929950
cut_low-src,0,891652,1454,PARTITION_0,315899,3870548
cut_low-src,0,891652,749,PARTITION_2,229439,1993838
cut_low-src,1,891652,109,PARTITION_3,20927,290158
cut_low-src,1,891652,431,PARTITION_9,50250,1147322
cut_low-src,1,891652,700,PARTITION_7,146661,1863400
cut_low-src,1,891652,918,PARTITION_10,191141,2443716
cut_low-src,1,891652,718,PARTITION_5,322950,1911316
cut_low-src,1,891652,542,PARTITION_2,175890,1442804
cut_low-src_red-max,0,891652,99,PARTITION_8,18728,263538
cut_low-src_red-max,0,891652,339,PARTITION_4,34665,902418
cut_low-src_red-max,0,891652,660,PARTITION_1,143811,1756920
cut_low-src_red-max,0,891652,725,PARTITION_6,167493,1929950
cut_low-src_red-max,0,891652,1454,PARTITION_0,315899,3870548
cut_low-src_red-max,0,891652,747,PARTITION_2,227667,1988514
cut_low-src_red-max,1,891652,109,PARTITION_3,20927,290158
cut_low-src_red-max,1,891652,431,PARTITION_9,50250,1147322
cut_low-src_red-max,1,891652,700,PARTITION_7,146661,1863400
cut_low-src_red-max,1,891652,918,PARTITION_10,191141,2443716
cut_low-src_red-max,1,891652,718,PARTITION_5,322950,1911316
cut_low-src_red-max,1,891652,544,PARTITION_2,178015,1448128
cut_red-max,0,891652,99,PARTITION_8,18728,263538
cut_red-max,0,891652,339,PARTITION_4,34665,902418
cut_red-max,0,891652,660,PARTITION_1,143811,1756920
cut_red-max,0,891652,725,PARTITION_6,167493,1929950
cut_red-max,0,891652,1454,PARTITION_0,315899,3870548
cut_red-max,0,891652,744,PARTITION_2,222695,1980528
cut_red-max,1,891652,109,PARTITION_3,20927,290158
cut_red-max,1,891652,431,PARTITION_9,50250,1147322
cut_red-max,1,891652,700,PARTITION_7,146661,1863400
cut_red-max,1,891652,918,PARTITION_10,191141,2443716
cut_red-max,1,891652,718,PARTITION_5,322950,1911316
cut_red-max,1,891652,547,PARTITION_2,185766,1456114
cut_adj-lmt,0,891652,99,PARTITION_8,18728,263538
cut_adj-lmt,0,891652,339,PARTITION_4,34665,902418
cut_adj-lmt,0,891652,660,PARTITION_1,143811,1756920
cut_adj-lmt,0,891652,725,PARTITION_6,167493,1929950
cut_adj-lmt,0,891652,1454,PARTITION_0,315899,3870548
cut_adj-lmt,0,891652,801,PARTITION_2,229689,2132262
cut_adj-lmt,1,891652,109,PARTITION_3,20927,290158
cut_adj-lmt,1,891652,431,PARTITION_9,50250,1147322
cut_adj-lmt,1,891652,700,PARTITION_7,146661,1863400
cut_adj-lmt,1,891652,918,PARTITION_10,191141,2443716
cut_adj-lmt,1,891652,718,PARTITION_5,322950,1911316
cut_adj-lmt,1,891652,490,PARTITION_2,175615,1304380
