description,bin,lower_bound,sites,partition,op_optimized,op_maximum
odda,0,643547,135,gene58,4443,6885
odda,0,643547,207,gene194,6415,10557
odda,0,643547,257,gene8,8116,13107
odda,0,643547,299,gene150,9072,15249
odda,0,643547,360,gene44,10560,18360
odda,0,643547,387,gene205,11244,19737
odda,0,643547,431,gene15,12228,21981
odda,0,643547,459,gene180,12776,23409
odda,0,643547,479,gene90,13612,24429
odda,0,643547,515,gene126,14504,26265
odda,0,643547,553,gene86,15456,28203
odda,0,643547,581,gene33,16316,29631
odda,0,643547,612,gene211,16680,31212
odda,0,643547,639,gene181,17488,32589
odda,0,643547,681,gene92,18672,34731
odda,0,643547,736,gene127,19516,37536
odda,0,643547,771,gene206,20716,39321
odda,0,643547,816,gene32,21740,41616
odda,0,643547,843,gene220,22036,42993
odda,0,643547,912,gene37,24192,46512
odda,0,643547,945,gene214,24284,48195
odda,0,643547,1010,gene228,25672,51510
odda,0,643547,1075,gene182,27136,54825
odda,0,643547,1161,gene149,29004,59211
odda,0,643547,1257,gene128,31064,64107
odda,0,643547,1334,gene55,33328,68034
odda,0,643547,1580,gene129,38020,80580
odda,0,643547,1880,gene147,44080,95880
odda,0,643547,2412,gene25,57124,123012
odda,0,643547,1670,gene143,40500,85170
odda,1,643547,160,gene20,5323,8160
odda,1,643547,207,gene72,6592,10557
odda,1,643547,258,gene83,7863,13158
odda,1,643547,309,gene49,9364,15759
odda,1,643547,365,gene142,10708,18615
odda,1,643547,389,gene100,11483,19839
odda,1,643547,435,gene4,12536,22185
odda,1,643547,460,gene9,13156,23460
odda,1,643547,483,gene28,13812,24633
odda,1,643547,520,gene2,14860,26520
odda,1,643547,554,gene210,15256,28254
odda,1,643547,582,gene89,16124,29682
odda,1,643547,617,gene122,16988,31467
odda,1,643547,640,gene42,17920,32640
odda,1,643547,684,gene101,18976,34884
odda,1,643547,742,gene52,20264,37842
odda,1,643547,774,gene136,20320,39474
odda,1,643547,816,gene67,21664,41616
odda,1,643547,844,gene46,22752,43044
odda,1,643547,916,gene159,23764,46716
odda,1,643547,951,gene184,24536,48501
odda,1,643547,1010,gene82,26880,51510
odda,1,643547,1094,gene158,27916,55794
odda,1,643547,1178,gene230,29528,60078
odda,1,643547,1270,gene12,32144,64770
odda,1,643547,1348,gene188,33548,68748
odda,1,643547,1599,gene223,38224,81549
odda,1,643547,1912,gene108,46504,97512
odda,1,643547,2417,gene161,55524,123267
odda,1,643547,1463,gene143,37544,74613
odda,2,643547,162,gene98,5311,8262
odda,2,643547,208,gene65,6568,10608
odda,2,643547,258,gene77,8136,13158
odda,2,643547,341,gene35,10220,17391
odda,2,643547,369,gene68,11084,18819
odda,2,643547,390,gene96,11768,19890
odda,2,643547,436,gene190,12484,22236
odda,2,643547,464,gene197,13028,23664
odda,2,643547,491,gene19,14188,25041
odda,2,643547,525,gene102,14872,26775
odda,2,643547,556,gene218,15008,28356
odda,2,643547,584,gene78,16404,29784
odda,2,643547,621,gene39,17544,31671
odda,2,643547,645,gene109,17712,32895
odda,2,643547,690,gene1,18900,35190
odda,2,643547,747,gene196,19988,38097
odda,2,643547,780,gene75,21292,39780
odda,2,643547,818,gene166,21572,41718
odda,2,643547,850,gene151,22412,43350
odda,2,643547,919,gene195,23512,46869
odda,2,643547,957,gene152,24280,48807
odda,2,643547,1020,gene222,26068,52020
odda,2,643547,1125,gene118,29128,57375
odda,2,643547,1184,gene187,29708,60384
odda,2,643547,1277,gene224,31436,65127
odda,2,643547,1385,gene27,35016,70635
odda,2,643547,1635,gene162,39328,83385
odda,2,643547,1940,gene144,45592,98940
odda,2,643547,2711,gene134,61424,138261
odda,2,643547,909,gene143,25776,46359
odda,3,643547,176,gene93,5703,8976
odda,3,643547,209,gene115,6556,10659
odda,3,643547,265,gene18,8179,13515
odda,3,643547,341,gene183,10216,17391
odda,3,643547,372,gene60,11180,18972
odda,3,643547,400,gene112,11840,20400
odda,3,643547,437,gene23,12832,22287
odda,3,643547,466,gene169,13236,23766
odda,3,643547,494,gene54,14088,25194
odda,3,643547,540,gene103,15520,27540
odda,3,643547,557,gene62,15352,28407
odda,3,643547,586,gene221,16020,29886
odda,3,643547,621,gene140,16912,31671
odda,3,643547,654,gene91,17848,33354
odda,3,643547,695,gene153,18376,35445
odda,3,643547,748,gene227,19508,38148
odda,3,643547,782,gene29,21088,39882
odda,3,643547,826,gene217,21524,42126
odda,3,643547,862,gene50,23240,43962
odda,3,643547,930,gene74,24352,47430
odda,3,643547,960,gene133,24528,48960
odda,3,643547,1034,gene171,26432,52734
odda,3,643547,1138,gene191,28784,58038
odda,3,643547,1209,gene40,30792,61659
odda,3,643547,1281,gene45,32484,65331
odda,3,643547,1391,gene163,34132,70941
odda,3,643547,1713,gene84,42028,87363
odda,3,643547,1957,gene154,45736,99807
odda,3,643547,3010,gene135,67640,153510
odda,3,643547,341,gene143,105592,253215
odda,4,643547,188,gene31,6140,9588
odda,4,643547,223,gene5,6827,11373
odda,4,643547,272,gene231,8188,13872
odda,4,643547,344,gene193,10296,17544
odda,4,643547,375,gene80,10876,19125
odda,4,643547,402,gene175,11708,20502
odda,4,643547,438,gene113,12816,22338
odda,4,643547,470,gene120,13464,23970
odda,4,643547,496,gene70,14192,25296
odda,4,643547,541,gene59,15404,27591
odda,4,643547,570,gene216,15384,29070
odda,4,643547,590,gene201,16200,30090
odda,4,643547,625,gene207,16944,31875
odda,4,643547,660,gene176,17500,33660
odda,4,643547,697,gene177,18360,35547
odda,4,643547,760,gene26,20596,38760
odda,4,643547,790,gene53,21232,40290
odda,4,643547,826,gene21,22084,42126
odda,4,643547,869,gene164,22468,44319
odda,4,643547,931,gene204,24220,47481
odda,4,643547,963,gene116,25640,49113
odda,4,643547,1046,gene209,26672,53346
odda,4,643547,1142,gene121,29472,58242
odda,4,643547,1216,gene198,30528,62016
odda,4,643547,1307,gene71,33264,66657
odda,4,643547,1416,gene76,35884,72216
odda,4,643547,1821,gene232,42856,92871
odda,4,643547,1960,gene219,46200,99960
odda,4,643547,3059,gene229,68620,156009
odda,5,643547,193,gene213,6060,9843
odda,5,643547,227,gene87,7044,11577
odda,5,643547,280,gene125,8420,14280
odda,5,643547,347,gene165,10324,17697
odda,5,643547,376,gene61,10776,19176
odda,5,643547,403,gene14,11952,20553
odda,5,643547,450,gene117,13028,22950
odda,5,643547,472,gene141,12908,24072
odda,5,643547,511,gene138,13980,26061
odda,5,643547,544,gene111,15188,27744
odda,5,643547,572,gene66,16048,29172
odda,5,643547,599,gene208,16248,30549
odda,5,643547,631,gene36,17568,32181
odda,5,643547,666,gene186,18016,33966
odda,5,643547,706,gene104,19544,36006
