description,bin,lower_bound,sites,partition,op_optimized,op_maximum
odda,0,2158920,74,ZFX,11857,67340
odda,0,2158920,190,ATP8,74261,172900
odda,0,2158920,224,PNOC,27722,203840
odda,0,2158920,234,ND4L,89462,212940
odda,0,2158920,253,TYR,32661,230230
odda,0,2158920,323,CREM,39995,293930
odda,0,2158920,383,CNR1,47707,348530
odda,0,2158920,436,RAG1,54399,396760
odda,0,2158920,463,EDG1,49413,421330
odda,0,2158920,467,COX2,160122,424970
odda,0,2158920,484,COX3,176851,440440
odda,0,2158920,571,12S_rRNA,142511,519610
odda,0,2158920,770,Cytb,255506,700700
odda,0,2158920,815,COX1,264821,741650
odda,0,2158920,931,IRBP,136776,847210
odda,0,2158920,1016,ND4,318708,924560
odda,0,2158920,1393,ND5,421892,1267630
odda,0,2158920,906,BRCA1,285527,2467010
odda,1,2158920,149,BMI,18157,135590
odda,1,2158920,215,ADORA3,31290,195650
odda,1,2158920,230,BDNF,31611,209300
odda,1,2158920,239,RAG2,27044,217490
odda,1,2158920,265,ND3,102305,241150
odda,1,2158920,348,PLCB4,47952,316680
odda,1,2158920,408,ADRB2,49423,371280
odda,1,2158920,457,ATP7A,51856,415870
odda,1,2158920,467,ND6,144902,424970
odda,1,2158920,474,APP,52673,431340
odda,1,2158920,498,ATP6,171861,453180
odda,1,2158920,669,ND1,205835,608790
odda,1,2158920,809,16S_rRNA,192099,736190
odda,1,2158920,865,ND2,270380,787150
odda,1,2158920,940,tRNAs,211898,855400
odda,1,2158920,1095,APOB,118362,996450
odda,1,2158920,1805,BRCA1,202109,1642550
cut,0,2158920,149,BMI,18157,135590
cut,0,2158920,224,PNOC,27722,203840
cut,0,2158920,230,BDNF,31611,209300
cut,0,2158920,323,CREM,39995,293930
cut,0,2158920,348,PLCB4,47952,316680
cut,0,2158920,408,ADRB2,49423,371280
cut,0,2158920,474,APP,52673,431340
cut,0,2158920,190,ATP8,74261,172900
cut,0,2158920,265,ND3,102305,241150
cut,0,2158920,931,IRBP,136776,847210
cut,0,2158920,467,ND6,144902,424970
cut,0,2158920,498,ATP6,171861,453180
cut,0,2158920,809,16S_rRNA,192099,736190
cut,0,2158920,940,tRNAs,211898,855400
