description,bin,lower_bound,sites,partition,op_optimized,op_maximum
odda,0,111457,99,PARTITION_8,18728,263538
odda,0,111457,367,PARTITION_0,101274,976954
odda,1,111457,109,PARTITION_3,20927,290158
odda,1,111457,357,PARTITION_0,112524,950334
odda,2,111457,339,PARTITION_4,34665,902418
odda,2,111457,127,PARTITION_0,45122,338074
odda,3,111457,431,PARTITION_9,50250,1147322
odda,3,111457,23,PARTITION_0,315899,3870548
odda,4,111457,214,PARTITION_5,322950,1911316
odda,4,111457,252,PARTITION_6,68811,670824
odda,5,111457,466,PARTITION_6,115813,1240492
odda,6,111457,7,PARTITION_6,167493,1929950
odda,6,111457,459,PARTITION_10,110133,1221858
odda,7,111457,459,PARTITION_10,191141,2443716
odda,7,111457,7,PARTITION_2,3919,18634
odda,8,111457,466,PARTITION_0,97142,1240492
odda,9,111457,466,PARTITION_2,130259,1240492
odda,10,111457,352,PARTITION_2,370779,3436642
odda,10,111457,114,PARTITION_0,31736,303468
odda,11,111457,466,PARTITION_2,157401,1240492
odda,12,111457,466,PARTITION_5,221417,1240492
odda,13,111457,428,PARTITION_7,146661,1863400
odda,13,111457,38,PARTITION_5,27443,101156
odda,14,111457,194,PARTITION_1,143811,1756920
odda,14,111457,272,PARTITION_7,71311,724064
odda,15,111457,466,PARTITION_1,110160,1240492
cut,0,111457,474,PARTITION_1,111633,1261788
cut,1,111457,186,PARTITION_1,48493,495132
cut,1,111457,244,PARTITION_7,64280,649528
cut,2,111457,456,PARTITION_7,101684,1213872
cut,2,111457,16,PARTITION_6,13648,42592
cut,3,111457,516,PARTITION_6,114619,1373592
cut,4,111457,193,PARTITION_6,60624,513766
cut,4,111457,194,PARTITION_10,55332,516428
cut,5,111457,477,PARTITION_10,118504,1269774
cut,6,111457,247,PARTITION_10,67167,657514
cut,6,111457,247,PARTITION_0,54241,657514
cut,7,111457,545,PARTITION_0,124066,1450790
cut,8,111457,429,PARTITION_0,127749,1141998
cut,9,111457,233,PARTITION_0,78935,620246
cut,9,111457,81,PARTITION_5,52582,215622
cut,10,111457,243,PARTITION_5,136079,646866
cut,11,111457,308,PARTITION_5,143605,819896
cut,12,111457,99,PARTITION_8,18728,263538
cut,12,111457,86,PARTITION_5,59942,228932
cut,12,111457,129,PARTITION_2,64412,343398
cut,13,111457,109,PARTITION_3,20927,290158
cut,13,111457,443,PARTITION_2,130785,1179266
cut,14,111457,339,PARTITION_4,34665,902418
cut,14,111457,433,PARTITION_2,125972,1152646
cut,15,111457,431,PARTITION_9,50250,1147322
cut,15,111457,286,PARTITION_2,122945,761332
cut_low-src,0,111457,490,PARTITION_1,117219,1304380
cut_low-src,0,111457,10,PARTITION_2,14803,26620
cut_low-src,1,111457,170,PARTITION_1,42317,452540
cut_low-src,1,111457,239,PARTITION_7,60867,636218
cut_low-src,1,111457,26,PARTITION_2,28266,69212
cut_low-src,2,111457,461,PARTITION_7,103570,1227182
cut_low-src,2,111457,7,PARTITION_6,4668,18634
cut_low-src,2,111457,25,PARTITION_2,23885,66550
cut_low-src,3,111457,528,PARTITION_6,119837,1405536
cut_low-src,3,111457,7,PARTITION_2,12411,18634
cut_low-src,4,111457,190,PARTITION_6,59920,505780
cut_low-src,4,111457,208,PARTITION_10,57345,553696
cut_low-src,4,111457,10,PARTITION_2,15006,26620
cut_low-src,5,111457,477,PARTITION_10,117960,1269774
cut_low-src,5,111457,9,PARTITION_2,14044,23958
cut_low-src,6,111457,233,PARTITION_10,56667,620246
cut_low-src,6,111457,236,PARTITION_0,50415,628232
cut_low-src,6,111457,23,PARTITION_2,24859,61226
cut_low-src,7,111457,566,PARTITION_0,131676,1506692
cut_low-src,8,111457,436,PARTITION_0,129291,1160632
cut_low-src,8,111457,1,PARTITION_2,2662,2662
cut_low-src,9,111457,216,PARTITION_0,68930,574992
cut_low-src,9,111457,93,PARTITION_5,63264,247566
cut_low-src,10,111457,239,PARTITION_5,131909,636218
cut_low-src,11,111457,289,PARTITION_5,131455,769318
cut_low-src,12,111457,99,PARTITION_8,18728,263538
cut_low-src,12,111457,94,PARTITION_5,66424,250228
cut_low-src,12,111457,107,PARTITION_2,48689,284834
cut_low-src,13,111457,109,PARTITION_3,20927,290158
cut_low-src,13,111457,395,PARTITION_2,117178,1051490
cut_low-src,14,111457,339,PARTITION_4,34665,902418
cut_low-src,14,111457,411,PARTITION_2,121459,1094082
cut_low-src,14,111457,2,PARTITION_5,4043,5324
cut_low-src,15,111457,431,PARTITION_9,50250,1147322
cut_low-src,15,111457,267,PARTITION_2,105770,710754
cut_low-src,15,111457,1,PARTITION_5,2662,2662
cut_low-src_red-max,0,111457,490,PARTITION_1,117219,1304380
cut_low-src_red-max,0,111457,14,PARTITION_2,20520,37268
cut_low-src_red-max,1,111457,170,PARTITION_1,42317,452540
cut_low-src_red-max,1,111457,239,PARTITION_7,60867,636218
cut_low-src_red-max,1,111457,30,PARTITION_2,33754,79860
cut_low-src_red-max,2,111457,461,PARTITION_7,103570,1227182
cut_low-src_red-max,2,111457,7,PARTITION_6,4668,18634
cut_low-src_red-max,2,111457,29,PARTITION_2,28963,77198
cut_low-src_red-max,3,111457,528,PARTITION_6,119837,1405536
cut_low-src_red-max,3,111457,11,PARTITION_2,17606,29282
cut_low-src_red-max,4,111457,190,PARTITION_6,59920,505780
cut_low-src_red-max,4,111457,208,PARTITION_10,57345,553696
cut_low-src_red-max,4,111457,14,PARTITION_2,19834,37268
cut_low-src_red-max,5,111457,477,PARTITION_10,117960,1269774
cut_low-src_red-max,5,111457,13,PARTITION_2,19043,34606
cut_low-src_red-max,6,111457,233,PARTITION_10,56667,620246
cut_low-src_red-max,6,111457,236,PARTITION_0,50415,628232
cut_low-src_red-max,6,111457,27,PARTITION_2,30012,71874
cut_low-src_red-max,7,111457,566,PARTITION_0,131676,1506692
cut_low-src_red-max,8,111457,436,PARTITION_0,129291,1160632
cut_low-src_red-max,8,111457,5,PARTITION_2,9288,13310
cut_low-src_red-max,9,111457,216,PARTITION_0,68930,574992
cut_low-src_red-max,9,111457,93,PARTITION_5,63264,247566
cut_low-src_red-max,10,111457,240,PARTITION_5,132942,638880
cut_low-src_red-max,11,111457,291,PARTITION_5,133076,774642
cut_low-src_red-max,12,111457,99,PARTITION_8,18728,263538
cut_low-src_red-max,12,111457,94,PARTITION_5,66424,250228
cut_low-src_red-max,12,111457,111,PARTITION_2,52540,295482
cut_low-src_red-max,13,111457,109,PARTITION_3,20927,290158
cut_low-src_red-max,13,111457,395,PARTITION_2,117178,1051490
cut_low-src_red-max,14,111457,339,PARTITION_4,34665,902418
cut_low-src_red-max,14,111457,393,PARTITION_2,104832,1046166
cut_low-src_red-max,15,111457,431,PARTITION_9,50250,1147322
cut_low-src_red-max,15,111457,249,PARTITION_2,91641,662838
cut_red-max,0,111457,474,PARTITION_1,111633,1261788
cut_red-max,1,111457,186,PARTITION_1,48493,495132
cut_red-max,1,111457,244,PARTITION_7,64280,649528
cut_red-max,2,111457,456,PARTITION_7,101684,1213872
cut_red-max,2,111457,16,PARTITION_6,13648,42592
cut_red-max,3,111457,516,PARTITION_6,114619,1373592
cut_red-max,4,111457,193,PARTITION_6,60624,513766
cut_red-max,4,111457,194,PARTITION_10,55332,516428
cut_red-max,5,111457,477,PARTITION_10,118504,1269774
cut_red-max,6,111457,247,PARTITION_10,67167,657514
cut_red-max,6,111457,247,PARTITION_0,54241,657514
cut_red-max,7,111457,545,PARTITION_0,124066,1450790
cut_red-max,8,111457,429,PARTITION_0,127749,1141998
cut_red-max,9,111457,233,PARTITION_0,78935,620246
cut_red-max,9,111457,81,PARTITION_5,52582,215622
cut_red-max,10,111457,243,PARTITION_5,136079,646866
