description,bin,lower_bound,sites,partition,op_optimized,op_maximum
odda,0,80444,135,gene58,4443,6885
odda,0,80444,479,gene90,13612,24429
odda,0,80444,771,gene206,20716,39321
odda,0,80444,1257,gene128,31064,64107
odda,0,80444,483,gene143,14260,24633
odda,1,80444,160,gene20,5323,8160
odda,1,80444,483,gene28,13812,24633
odda,1,80444,774,gene136,20320,39474
odda,1,80444,1270,gene12,32144,64770
odda,1,80444,438,gene143,13076,22338
odda,2,80444,162,gene98,5311,8262
odda,2,80444,491,gene19,14188,25041
odda,2,80444,780,gene75,21292,39780
odda,2,80444,1277,gene224,31436,65127
odda,2,80444,415,gene143,12636,21165
odda,3,80444,176,gene93,5703,8976
odda,3,80444,494,gene54,14088,25194
odda,3,80444,782,gene29,21088,39882
odda,3,80444,1281,gene45,32484,65331
odda,3,80444,392,gene143,12360,19992
odda,4,80444,188,gene31,6140,9588
odda,4,80444,496,gene70,14192,25296
odda,4,80444,790,gene53,21232,40290
odda,4,80444,1307,gene71,33264,66657
odda,4,80444,344,gene143,10980,17544
odda,5,80444,193,gene213,6060,9843
odda,5,80444,511,gene138,13980,26061
odda,5,80444,797,gene41,21260,40647
odda,5,80444,1329,gene137,32836,67779
odda,5,80444,295,gene143,9416,15045
odda,6,80444,193,gene24,6308,9843
odda,6,80444,512,gene56,14588,26112
odda,6,80444,798,gene48,21468,40698
odda,6,80444,1331,gene192,32612,67881
odda,6,80444,291,gene143,9572,14841
odda,7,80444,205,gene34,6659,10455
odda,7,80444,514,gene11,14548,26214
odda,7,80444,815,gene81,21784,41565
odda,7,80444,1333,gene146,32680,67983
odda,7,80444,258,gene143,8816,13158
odda,8,80444,207,gene194,6415,10557
odda,8,80444,515,gene126,14504,26265
odda,8,80444,816,gene32,21740,41616
odda,8,80444,1334,gene55,33328,68034
odda,8,80444,253,gene143,8444,12903
odda,9,80444,207,gene72,6592,10557
odda,9,80444,520,gene2,14860,26520
odda,9,80444,816,gene67,21664,41616
odda,9,80444,1348,gene188,33548,68748
odda,9,80444,234,gene143,7968,11934
odda,10,80444,208,gene65,6568,10608
odda,10,80444,525,gene102,14872,26775
odda,10,80444,818,gene166,21572,41718
odda,10,80444,1385,gene27,35016,70635
odda,10,80444,189,gene143,6668,9639
odda,11,80444,209,gene115,6556,10659
odda,11,80444,540,gene103,15520,27540
odda,11,80444,826,gene217,21524,42126
odda,11,80444,1391,gene163,34132,70941
odda,11,80444,159,gene143,5692,8109
odda,12,80444,223,gene5,6827,11373
odda,12,80444,541,gene59,15404,27591
odda,12,80444,826,gene21,22084,42126
odda,12,80444,1416,gene76,35884,72216
odda,12,80444,119,gene143,4411,6069
odda,13,80444,227,gene87,7044,11577
odda,13,80444,544,gene111,15188,27744
odda,13,80444,830,gene114,22344,42330
odda,13,80444,1427,gene130,35184,72777
odda,13,80444,97,gene143,3691,4947
odda,14,80444,232,gene51,7432,11832
odda,14,80444,545,gene167,14836,27795
odda,14,80444,841,gene199,21968,42891
odda,14,80444,1434,gene200,34900,73134
odda,14,80444,47,gene143,105592,253215
odda,15,80444,249,gene43,7636,12699
odda,15,80444,551,gene123,15436,28101
odda,15,80444,842,gene212,22140,42942
odda,15,80444,1483,gene174,36056,75633
odda,16,80444,257,gene8,8116,13107
odda,16,80444,553,gene86,15456,28203
odda,16,80444,843,gene220,22036,42993
odda,16,80444,77,gene174,37704,79560
odda,16,80444,1395,gene129,34052,71145
odda,17,80444,258,gene83,7863,13158
odda,17,80444,554,gene210,15256,28254
odda,17,80444,844,gene46,22752,43044
odda,17,80444,185,gene129,38020,80580
odda,17,80444,1284,gene223,31312,65484
odda,18,80444,258,gene77,8136,13158
odda,18,80444,556,gene218,15008,28356
odda,18,80444,850,gene151,22412,43350
odda,18,80444,315,gene223,38224,81549
odda,18,80444,1146,gene162,28744,58446
odda,19,80444,265,gene18,8179,13515
odda,19,80444,557,gene62,15352,28407
odda,19,80444,862,gene50,23240,43962
odda,19,80444,489,gene162,39328,83385
odda,19,80444,952,gene84,25092,48552
odda,20,80444,272,gene231,8188,13872
odda,20,80444,570,gene216,15384,29070
odda,20,80444,869,gene164,22468,44319
odda,20,80444,761,gene84,42028,87363
odda,20,80444,653,gene232,17588,33303
odda,21,80444,280,gene125,8420,14280
odda,21,80444,572,gene66,16048,29172
odda,21,80444,877,gene30,23460,44727
odda,21,80444,1168,gene232,42856,92871
odda,21,80444,228,gene225,7116,11628
odda,22,80444,291,gene119,9092,14841
odda,22,80444,572,gene85,15968,29172
odda,22,80444,885,gene22,23688,45135
odda,22,80444,1377,gene225,33892,70227
odda,23,80444,294,gene131,8692,14994
odda,23,80444,574,gene47,16108,29274
odda,23,80444,911,gene69,24144,46461
odda,23,80444,244,gene225,43712,94299
odda,23,80444,1102,gene145,27992,56202
odda,24,80444,299,gene150,9072,15249
odda,24,80444,581,gene33,16316,29631
odda,24,80444,912,gene37,24192,46512
odda,24,80444,760,gene145,44168,94962
odda,24,80444,573,gene179,15804,29223
odda,25,80444,309,gene49,9364,15759
odda,25,80444,582,gene89,16124,29682
odda,25,80444,916,gene159,23764,46716
odda,25,80444,1300,gene179,44504,95523
odda,25,80444,18,gene147,731,918
odda,26,80444,341,gene35,10220,17391
odda,26,80444,584,gene78,16404,29784
odda,26,80444,919,gene195,23512,46869
odda,26,80444,1281,gene147,31556,65331
odda,27,80444,341,gene183,10216,17391
odda,27,80444,586,gene221,16020,29886
odda,27,80444,930,gene74,24352,47430
odda,27,80444,581,gene147,44080,95880
odda,27,80444,687,gene108,18836,35037
odda,28,80444,344,gene193,10296,17544
odda,28,80444,590,gene201,16200,30090
odda,28,80444,931,gene204,24220,47481
odda,28,80444,1225,gene108,46504,97512
odda,28,80444,35,gene144,1371,1785
odda,29,80444,347,gene165,10324,17697
odda,29,80444,599,gene208,16248,30549
odda,29,80444,932,gene157,23944,47532
odda,29,80444,1247,gene144,30920,63597
odda,30,80444,348,gene16,10419,17748
odda,30,80444,602,gene170,16212,30702
odda,30,80444,942,gene173,23840,48042
odda,30,80444,658,gene144,45592,98940
odda,30,80444,575,gene154,15600,29325
odda,31,80444,356,gene226,10276,18156
odda,31,80444,606,gene124,16868,30906
odda,31,80444,945,gene203,24116,48195
odda,31,80444,1218,gene154,30932,62118
odda,32,80444,360,gene44,10560,18360
odda,32,80444,612,gene211,16680,31212
odda,32,80444,945,gene214,24284,48195
odda,32,80444,164,gene154,45736,99807
odda,32,80444,1044,gene219,26360,53244
odda,33,80444,365,gene142,10708,18615
odda,33,80444,617,gene122,16988,31467
odda,33,80444,951,gene184,24536,48501
odda,33,80444,916,gene219,46200,99960
odda,33,80444,276,gene88,8288,14076
odda,34,80444,369,gene68,11084,18819
odda,34,80444,621,gene39,17544,31671
