description,bin,lower_bound,sites,partition,op_optimized,op_maximum
odda,0,10800,33,5.8S,5448,12903
odda,0,10800,43,ndhf1st,96585,386308
odda,1,10800,102,its2,20596,39882
odda,2,10800,37,its2,41359,94231
odda,2,10800,65,gbss13rd,7242,25415
odda,3,10800,102,gbss13rd,10270,39882
odda,4,10800,101,gbss13rd,21652,104788
odda,4,10800,1,rbcl1st,391,391
odda,5,10800,102,rbcl1st,10172,39882
odda,6,10800,102,rbcl1st,11912,39882
odda,7,10800,102,rbcl1st,11314,39882
odda,8,10800,47,rbcl1st,31146,138414
odda,8,10800,55,cprs,8901,21505
odda,9,10800,102,cprs,14074,39882
odda,10,10800,102,cprs,17328,39882
odda,11,10800,95,cprs,43875,138414
odda,11,10800,7,rpoc23rd,1475,2737
odda,12,10800,102,rpoc23rd,12416,39882
odda,13,10800,102,rpoc23rd,10516,39882
odda,14,10800,102,rpoc23rd,10933,39882
odda,15,10800,73,rpoc23rd,34787,150926
odda,15,10800,29,phyb3rd,6436,11339
odda,16,10800,102,ndhf1st,15246,39882
odda,17,10800,102,phyb3rd,16667,39882
odda,18,10800,102,phyb3rd,15922,39882
odda,19,10800,102,phyb3rd,13777,39882
odda,20,10800,102,phyb3rd,14549,39882
odda,21,10800,75,phyb3rd,70717,240074
odda,21,10800,27,ndhf1st,4547,10557
odda,22,10800,102,ndhf1st,12499,39882
odda,23,10800,102,ndhf1st,12150,39882
odda,24,10800,102,ndhf1st,15027,39882
odda,25,10800,102,ndhf1st,13570,39882
odda,26,10800,102,ndhf1st,14168,39882
odda,27,10800,102,ndhf1st,14512,39882
odda,28,10800,102,ndhf1st,13088,39882
odda,29,10800,102,ndhf1st,13693,39882
odda,30,10800,102,phyb3rd,14922,39882
odda,31,10800,102,its2,18520,39882
cut,0,10800,108,gbss13rd,10828,42228
cut,1,10800,105,gbss13rd,10969,41055
cut,2,10800,55,gbss13rd,7226,21505
cut,2,10800,28,rbcl1st,3958,10948
cut,3,10800,104,rbcl1st,11169,40664
cut,4,10800,94,rbcl1st,11329,36754
cut,5,10800,103,rbcl1st,11489,40273
cut,6,10800,25,rbcl1st,4283,9775
cut,6,10800,55,rpoc23rd,7368,21505
cut,7,10800,98,rpoc23rd,11587,38318
cut,8,10800,112,rpoc23rd,11782,43792
cut,9,10800,105,rpoc23rd,11914,41055
cut,10,10800,16,rpoc23rd,3055,6256
cut,10,10800,42,its2,8874,16422
cut,11,10800,61,its2,12036,23851
cut,12,10800,59,its2,12370,23069
cut,13,10800,54,its2,12625,21114
cut,14,10800,25,its2,6831,9775
cut,14,10800,35,cprs,5630,13685
cut,15,10800,84,cprs,12684,32844
cut,16,10800,79,cprs,13142,30889
cut,17,10800,70,cprs,13241,27370
cut,18,10800,81,cprs,13451,31671
cut,19,10800,5,cprs,1007,1955
cut,19,10800,77,phyb3rd,12576,30107
cut,20,10800,86,phyb3rd,13836,33626
cut,21,10800,87,phyb3rd,14496,34017
cut,22,10800,94,phyb3rd,14828,36754
cut,23,10800,112,phyb3rd,15131,43792
cut,24,10800,113,phyb3rd,15713,44183
cut,25,10800,45,phyb3rd,7922,17595
cut,25,10800,60,ndhf1st,8186,23460
cut,26,10800,150,ndhf1st,16764,58650
cut,27,10800,134,ndhf1st,18119,52394
cut,28,10800,162,ndhf1st,19708,63342
cut,29,10800,162,ndhf1st,21438,63342
cut,30,10800,204,ndhf1st,24805,79764
cut,31,10800,33,5.8S,5448,12903
cut,31,10800,116,ndhf1st,16084,45356
cut_low-src,0,10800,109,gbss13rd,10350,42619
cut_low-src,0,10800,6,ndhf1st,2127,2346
cut_low-src,1,10800,102,gbss13rd,9414,39882
cut_low-src,1,10800,16,ndhf1st,4926,6256
cut_low-src,2,10800,57,gbss13rd,7127,22287
cut_low-src,2,10800,18,rbcl1st,2669,7038
