description,bin,lower_bound,sites,partition,op_optimized,op_maximum
odda,0,308422,155,gene22,5653,9300
odda,0,308422,284,gene114,9743,17040
odda,0,308422,386,gene195,12628,23160
odda,0,308422,465,gene162,14288,27900
odda,0,308422,559,gene165,16840,33540
odda,0,308422,643,gene57,20016,38580
odda,0,308422,713,gene182,20700,42780
odda,0,308422,766,gene153,22152,45960
odda,0,308422,828,gene128,23704,49680
odda,0,308422,946,gene85,27620,56760
odda,0,308422,1095,gene93,31656,65700
odda,0,308422,1323,gene122,37412,79380
odda,0,308422,2184,gene77,57640,131040
odda,0,308422,275,gene186,10472,16500
odda,1,308422,176,gene167,6087,10560
odda,1,308422,285,gene101,9700,17100
odda,1,308422,396,gene176,12251,23760
odda,1,308422,469,gene137,14660,28140
odda,1,308422,560,gene119,17216,33600
odda,1,308422,645,gene71,19616,38700
odda,1,308422,717,gene87,21476,43020
odda,1,308422,771,gene152,22104,46260
odda,1,308422,845,gene84,24920,50700
odda,1,308422,949,gene105,27496,56940
odda,1,308422,1105,gene14,33040,66300
odda,1,308422,1342,gene13,39356,80520
odda,1,308422,2343,gene56,63808,140580
odda,1,308422,6,gene186,143680,363000
odda,2,308422,178,gene111,6369,10680
odda,2,308422,289,gene23,9956,17340
odda,2,308422,417,gene97,13596,25020
odda,2,308422,472,gene43,15404,28320
odda,2,308422,564,gene31,18072,33840
odda,2,308422,648,gene116,20140,38880
odda,2,308422,720,gene175,21056,43200
odda,2,308422,777,gene158,22708,46620
odda,2,308422,846,gene18,25704,50760
odda,2,308422,950,gene25,28728,57000
odda,2,308422,1128,gene21,33856,67680
odda,2,308422,1397,gene200,37556,83820
odda,2,308422,2236,gene88,59244,134160
odda,3,308422,194,gene91,6880,11640
odda,3,308422,291,gene89,10104,17460
odda,3,308422,421,gene20,13860,25260
odda,3,308422,473,gene49,15840,28380
odda,3,308422,574,gene112,18060,34440
odda,3,308422,650,gene62,19892,39000
odda,3,308422,725,gene5,22520,43500
odda,3,308422,781,gene149,22388,46860
odda,3,308422,858,gene118,25612,51480
odda,3,308422,958,gene177,27036,57480
odda,3,308422,1146,gene99,32924,68760
odda,3,308422,1463,gene144,39192,87780
odda,3,308422,207,gene88,64252,146580
odda,3,308422,1881,gene74,50664,112860
odda,4,308422,202,gene2,7304,12120
odda,4,308422,291,gene24,10036,17460
odda,4,308422,422,gene35,13852,25320
odda,4,308422,477,gene194,15052,28620
odda,4,308422,588,gene70,18320,35280
odda,4,308422,653,gene140,19444,39180
odda,4,308422,727,gene52,22912,43620
odda,4,308422,791,gene103,23908,47460
odda,4,308422,859,gene172,24876,51540
odda,4,308422,978,gene96,28368,58680
odda,4,308422,1157,gene72,32712,69420
odda,4,308422,1477,gene66,41288,88620
odda,4,308422,702,gene74,67008,154980
odda,4,308422,1298,gene30,38096,77880
odda,5,308422,234,gene47,8368,14040
odda,5,308422,292,gene127,9751,17520
odda,5,308422,428,gene183,13352,25680
odda,5,308422,477,gene10,15660,28620
odda,5,308422,590,gene178,17468,35400
odda,5,308422,659,gene166,19576,39540
odda,5,308422,729,gene123,21672,43740
odda,5,308422,792,gene151,22908,47520
odda,5,308422,860,gene92,25820,51600
odda,5,308422,992,gene100,29184,59520
odda,5,308422,1170,gene45,34964,70200
odda,5,308422,1481,gene108,41516,88860
odda,5,308422,1445,gene30,73744,164580
odda,5,308422,473,gene185,14252,28380
odda,6,308422,246,gene76,8624,14760
odda,6,308422,317,gene179,10204,19020
odda,6,308422,439,gene150,13658,26340
odda,6,308422,482,gene53,15604,28920
odda,6,308422,593,gene98,18244,35580
odda,6,308422,660,gene107,19976,39600
odda,6,308422,734,gene29,22560,44040
odda,6,308422,793,gene82,23572,47580
odda,6,308422,870,gene134,24916,52200
odda,6,308422,995,gene59,30236,59700
odda,6,308422,1185,gene168,32488,71100
odda,6,308422,1503,gene192,41600,90180
odda,6,308422,1805,gene185,48244,108300
odda,7,308422,249,gene37,8924,14940
odda,7,308422,327,gene3,10986,19620
odda,7,308422,440,gene102,14144,26400
odda,7,308422,484,gene48,15800,29040
odda,7,308422,601,gene132,17860,36060
odda,7,308422,661,gene81,20184,39660
odda,7,308422,736,gene64,22156,44160
odda,7,308422,802,gene63,24360,48120
odda,7,308422,871,gene83,25760,52260
odda,7,308422,1003,gene154,28708,60180
odda,7,308422,1185,gene147,32660,71100
odda,7,308422,1629,gene190,44912,97740
odda,7,308422,672,gene185,73276,177000
odda,7,308422,962,gene187,28116,57720
odda,8,308422,254,gene115,8628,15240
odda,8,308422,333,gene19,11440,19980
