description,bin,lower_bound,sites,partition,op_optimized,op_maximum
odda,0,160887,135,gene58,4443,6885
odda,0,160887,360,gene44,10560,18360
odda,0,160887,479,gene90,13612,24429
odda,0,160887,612,gene211,16680,31212
odda,0,160887,771,gene206,20716,39321
odda,0,160887,945,gene214,24284,48195
odda,0,160887,1257,gene128,31064,64107
odda,0,160887,850,gene13,53828,114801
odda,0,160887,841,gene25,22724,42891
odda,1,160887,160,gene20,5323,8160
odda,1,160887,365,gene142,10708,18615
odda,1,160887,483,gene28,13812,24633
odda,1,160887,617,gene122,16988,31467
odda,1,160887,774,gene136,20320,39474
odda,1,160887,951,gene184,24536,48501
odda,1,160887,1270,gene12,32144,64770
odda,1,160887,1571,gene25,57124,123012
odda,1,160887,59,gene161,2103,3009
odda,2,160887,162,gene98,5311,8262
odda,2,160887,369,gene68,11084,18819
odda,2,160887,491,gene19,14188,25041
odda,2,160887,621,gene39,17544,31671
odda,2,160887,780,gene75,21292,39780
odda,2,160887,957,gene152,24280,48807
odda,2,160887,1277,gene224,31436,65127
odda,2,160887,1593,gene161,38124,81243
odda,3,160887,176,gene93,5703,8976
odda,3,160887,372,gene60,11180,18972
odda,3,160887,494,gene54,14088,25194
odda,3,160887,621,gene140,16912,31671
odda,3,160887,782,gene29,21088,39882
odda,3,160887,960,gene133,24528,48960
odda,3,160887,1281,gene45,32484,65331
odda,3,160887,765,gene161,55524,123267
odda,3,160887,799,gene134,20836,40749
odda,4,160887,188,gene31,6140,9588
odda,4,160887,375,gene80,10876,19125
odda,4,160887,496,gene70,14192,25296
odda,4,160887,625,gene207,16944,31875
odda,4,160887,790,gene53,21232,40290
odda,4,160887,963,gene116,25640,49113
odda,4,160887,1307,gene71,33264,66657
odda,4,160887,1506,gene134,37544,76806
odda,5,160887,193,gene213,6060,9843
odda,5,160887,376,gene61,10776,19176
odda,5,160887,511,gene138,13980,26061
odda,5,160887,631,gene36,17568,32181
odda,5,160887,797,gene41,21260,40647
odda,5,160887,965,gene148,24616,49215
odda,5,160887,1329,gene137,32836,67779
odda,5,160887,406,gene134,61424,138261
odda,5,160887,1042,gene135,26400,53142
odda,6,160887,193,gene24,6308,9843
odda,6,160887,385,gene95,11220,19635
odda,6,160887,512,gene56,14588,26112
odda,6,160887,634,gene6,17620,32334
odda,6,160887,798,gene48,21468,40698
odda,6,160887,987,gene189,25304,50337
odda,6,160887,1331,gene192,32612,67881
