description,bin,lower_bound,sites,partition,op_optimized,op_maximum
odda,0,321774,135,gene58,4443,6885
odda,0,321774,257,gene8,8116,13107
odda,0,321774,360,gene44,10560,18360
odda,0,321774,431,gene15,12228,21981
odda,0,321774,479,gene90,13612,24429
odda,0,321774,553,gene86,15456,28203
odda,0,321774,612,gene211,16680,31212
odda,0,321774,681,gene92,18672,34731
odda,0,321774,771,gene206,20716,39321
odda,0,321774,843,gene220,22036,42993
odda,0,321774,945,gene214,24284,48195
odda,0,321774,1075,gene182,27136,54825
odda,0,321774,1257,gene128,31064,64107
odda,0,321774,1580,gene129,38020,80580
odda,0,321774,2412,gene25,57124,123012
odda,0,321774,98,gene143,105592,253215
odda,1,321774,160,gene20,5323,8160
odda,1,321774,258,gene83,7863,13158
odda,1,321774,365,gene142,10708,18615
odda,1,321774,435,gene4,12536,22185
odda,1,321774,483,gene28,13812,24633
odda,1,321774,554,gene210,15256,28254
odda,1,321774,617,gene122,16988,31467
odda,1,321774,684,gene101,18976,34884
odda,1,321774,774,gene136,20320,39474
odda,1,321774,844,gene46,22752,43044
odda,1,321774,951,gene184,24536,48501
odda,1,321774,1094,gene158,27916,55794
odda,1,321774,1270,gene12,32144,64770
odda,1,321774,1599,gene223,38224,81549
odda,1,321774,2411,gene161,55360,122961
odda,2,321774,162,gene98,5311,8262
odda,2,321774,258,gene77,8136,13158
odda,2,321774,369,gene68,11084,18819
odda,2,321774,436,gene190,12484,22236
odda,2,321774,491,gene19,14188,25041
odda,2,321774,556,gene218,15008,28356
odda,2,321774,621,gene39,17544,31671
odda,2,321774,690,gene1,18900,35190
odda,2,321774,780,gene75,21292,39780
odda,2,321774,850,gene151,22412,43350
odda,2,321774,957,gene152,24280,48807
odda,2,321774,1125,gene118,29128,57375
odda,2,321774,1277,gene224,31436,65127
odda,2,321774,1635,gene162,39328,83385
odda,2,321774,6,gene161,55524,123267
odda,2,321774,2286,gene134,52600,116586
odda,3,321774,176,gene93,5703,8976
odda,3,321774,265,gene18,8179,13515
odda,3,321774,372,gene60,11180,18972
odda,3,321774,437,gene23,12832,22287
odda,3,321774,494,gene54,14088,25194
odda,3,321774,557,gene62,15352,28407
odda,3,321774,621,gene140,16912,31671
odda,3,321774,695,gene153,18376,35445
odda,3,321774,782,gene29,21088,39882
