description,bin,lower_bound,sites,partition,op_optimized,op_maximum
odda,0,77106,155,gene22,5653,9300
odda,0,77106,559,gene165,16840,33540
odda,0,77106,828,gene128,23704,49680
odda,0,77106,1114,gene80,33428,66840
odda,1,77106,176,gene167,6087,10560
odda,1,77106,560,gene119,17216,33600
odda,1,77106,845,gene84,24920,50700
odda,1,77106,207,gene80,57288,127680
odda,1,77106,868,gene124,25448,52080
odda,2,77106,178,gene111,6369,10680
odda,2,77106,564,gene31,18072,33840
odda,2,77106,846,gene18,25704,50760
odda,2,77106,1068,gene124,32500,64080
odda,3,77106,194,gene91,6880,11640
odda,3,77106,574,gene112,18060,34440
odda,3,77106,858,gene118,25612,51480
odda,3,77106,195,gene124,57232,127860
odda,3,77106,835,gene109,24832,50100
odda,4,77106,202,gene2,7304,12120
odda,4,77106,588,gene70,18320,35280
odda,4,77106,859,gene172,24876,51540
odda,4,77106,1007,gene109,30696,60420
odda,5,77106,234,gene47,8368,14040
odda,5,77106,590,gene178,17468,35400
odda,5,77106,860,gene92,25820,51600
odda,5,77106,300,gene109,57212,128520
odda,5,77106,672,gene77,20588,40320
odda,6,77106,246,gene76,8624,14760
odda,6,77106,593,gene98,18244,35580
odda,6,77106,870,gene134,24916,52200
odda,6,77106,947,gene77,28320,56820
odda,7,77106,249,gene37,8924,14940
odda,7,77106,601,gene132,17860,36060
odda,7,77106,871,gene83,25760,52260
odda,7,77106,565,gene77,57640,131040
odda,7,77106,370,gene56,12452,22200
odda,8,77106,254,gene115,8628,15240
odda,8,77106,603,gene42,19244,36180
odda,8,77106,884,gene65,26100,53040
odda,8,77106,915,gene56,28288,54900
odda,9,77106,263,gene198,9032,15780
odda,9,77106,611,gene197,18512,36660
odda,9,77106,891,gene170,25280,53460
odda,9,77106,891,gene56,28520,53460
odda,10,77106,264,gene104,9032,15840
odda,10,77106,619,gene174,18328,37140
odda,10,77106,892,gene51,27216,53520
odda,10,77106,167,gene56,63808,140580
odda,10,77106,714,gene88,21380,42840
odda,11,77106,269,gene36,9403,16140
