description,bin,lower_bound,sites,partition,op_optimized,op_maximum
odda,0,247678,161,gene86,5085,8211
odda,0,247678,220,gene32,6910,11220
odda,0,247678,355,gene95,9916,18105
odda,0,247678,457,gene23,12892,23307
odda,0,247678,540,gene77,14320,27540
odda,0,247678,579,gene69,15612,29529
odda,0,247678,618,gene74,16304,31518
odda,0,247678,679,gene51,18040,34629
odda,0,247678,755,gene33,20788,38505
odda,0,247678,927,gene88,23076,47277
odda,0,247678,1067,gene53,27548,54417
odda,0,247678,1391,gene82,32892,70941
odda,0,247678,1846,gene70,43812,94146
odda,1,247678,167,gene8,5334,8517
odda,1,247678,241,gene75,7077,12291
odda,1,247678,358,gene28,10628,18258
odda,1,247678,474,gene85,12899,24174
odda,1,247678,550,gene48,15152,28050
odda,1,247678,585,gene29,16240,29835
odda,1,247678,627,gene58,17096,31977
odda,1,247678,682,gene62,18192,34782
odda,1,247678,761,gene35,20812,38811
odda,1,247678,930,gene38,24268,47430
odda,1,247678,1102,gene68,27580,56202
odda,1,247678,1402,gene55,34348,71502
odda,1,247678,34,gene70,44488,95880
odda,1,247678,1682,gene26,41284,85782
odda,2,247678,172,gene15,5552,8772
odda,2,247678,281,gene6,8516,14331
odda,2,247678,378,gene4,11280,19278
odda,2,247678,488,gene30,14096,24888
odda,2,247678,556,gene44,15252,28356
odda,2,247678,592,gene14,16860,30192
odda,2,247678,628,gene31,17280,32028
odda,2,247678,691,gene93,17936,35241
odda,2,247678,808,gene94,20304,41208
odda,2,247678,953,gene54,24276,48603
odda,2,247678,1105,gene56,28020,56355
odda,2,247678,1483,gene43,35560,75633
odda,2,247678,634,gene26,54648,118116
odda,2,247678,826,gene50,21524,42126
odda,3,247678,192,gene42,6260,9792
odda,3,247678,287,gene64,8612,14637
odda,3,247678,382,gene79,10596,19482
odda,3,247678,493,gene40,13512,25143
odda,3,247678,563,gene5,15724,28713
odda,3,247678,600,gene21,16960,30600
odda,3,247678,633,gene27,17796,32283
odda,3,247678,693,gene72,18052,35343
odda,3,247678,808,gene87,20608,41208
odda,3,247678,978,gene92,23860,49878
odda,3,247678,1168,gene57,29192,59568
odda,3,247678,1506,gene80,35316,76806
odda,3,247678,1292,gene50,32672,65892
