description,bin,lower_bound,sites,partition,op_optimized,op_maximum
odda,0,55729,99,PARTITION_8,18728,263538
odda,0,55729,134,PARTITION_0,53613,356708
odda,1,55729,109,PARTITION_3,20927,290158
odda,1,55729,112,PARTITION_0,315899,3870548
odda,2,55729,233,PARTITION_9,32415,620246
odda,3,55729,71,PARTITION_9,50250,1147322
odda,3,55729,162,PARTITION_1,48938,431244
odda,4,55729,233,PARTITION_1,62151,620246
odda,5,55729,233,PARTITION_1,54762,620246
odda,6,55729,32,PARTITION_1,143811,1756920
odda,6,55729,201,PARTITION_7,54215,535062
odda,7,55729,233,PARTITION_7,63622,620246
odda,8,55729,233,PARTITION_7,54208,620246
odda,9,55729,33,PARTITION_7,146661,1863400
odda,9,55729,200,PARTITION_5,120326,532400
odda,10,55729,233,PARTITION_5,100548,620246
odda,11,55729,233,PARTITION_5,128264,620246
odda,12,55729,52,PARTITION_5,322950,1911316
odda,12,55729,181,PARTITION_6,54924,481822
odda,13,55729,233,PARTITION_6,59306,620246
odda,14,55729,233,PARTITION_6,60916,620246
odda,15,55729,78,PARTITION_6,167493,1929950
odda,15,55729,155,PARTITION_10,46082,412610
odda,16,55729,233,PARTITION_0,74805,620246
odda,17,55729,233,PARTITION_10,69896,620246
odda,18,55729,233,PARTITION_10,66892,620246
odda,19,55729,64,PARTITION_10,191141,2443716
odda,19,55729,169,PARTITION_2,76553,449878
odda,20,55729,233,PARTITION_2,73965,620246
odda,21,55729,233,PARTITION_2,76137,620246
odda,22,55729,233,PARTITION_2,74513,620246
odda,23,55729,233,PARTITION_2,78547,620246
odda,24,55729,190,PARTITION_2,370779,3436642
odda,24,55729,43,PARTITION_0,18301,114466
odda,25,55729,233,PARTITION_0,50035,620246
odda,26,55729,233,PARTITION_0,58043,620246
odda,27,55729,233,PARTITION_0,59502,620246
odda,28,55729,233,PARTITION_0,76641,620246
odda,29,55729,233,PARTITION_10,65693,620246
odda,30,55729,106,PARTITION_4,34665,902418
odda,30,55729,127,PARTITION_9,21435,338074
odda,31,55729,233,PARTITION_4,27526,620246
cut,0,55729,203,PARTITION_1,55779,540386
cut,1,55729,196,PARTITION_1,56452,521752
cut,2,55729,238,PARTITION_1,56846,633556
cut,3,55729,23,PARTITION_1,8422,61226
cut,3,55729,175,PARTITION_7,48537,465850
cut,4,55729,205,PARTITION_7,57721,545710
cut,5,55729,251,PARTITION_7,58114,668162
cut,6,55729,69,PARTITION_7,23350,183678
cut,6,55729,83,PARTITION_6,35349,220946
cut,7,55729,250,PARTITION_6,59270,665500
cut,8,55729,234,PARTITION_6,60129,622908
cut,9,55729,158,PARTITION_6,52552,420596
cut,9,55729,7,PARTITION_10,7909,18634
cut,10,55729,217,PARTITION_10,60714,577654
cut,11,55729,213,PARTITION_10,62085,567006
cut,12,55729,211,PARTITION_10,63461,561682
cut,13,55729,218,PARTITION_10,64948,580316
cut,14,55729,52,PARTITION_10,19541,138424
cut,14,55729,195,PARTITION_0,45812,519090
cut,15,55729,287,PARTITION_0,66647,763994
cut,16,55729,272,PARTITION_0,68110,724064
cut,17,55729,208,PARTITION_0,69644,553696
cut,18,55729,220,PARTITION_0,71363,585640
cut,19,55729,202,PARTITION_0,73161,537724
cut,20,55729,70,PARTITION_0,27513,186340
cut,20,55729,72,PARTITION_5,46660,191664
cut,21,55729,107,PARTITION_5,76694,284834
cut,22,55729,144,PARTITION_5,78799,383328
cut,23,55729,167,PARTITION_5,82260,444554
cut,24,55729,155,PARTITION_5,86360,412610
cut,25,55729,73,PARTITION_5,53556,194326
cut,25,55729,54,PARTITION_2,35757,143748
cut,26,55729,284,PARTITION_2,92578,756008
cut,27,55729,350,PARTITION_2,102618,931700
cut,28,55729,99,PARTITION_8,18728,263538
cut,28,55729,230,PARTITION_2,77524,612260
cut,29,55729,109,PARTITION_3,20927,290158
cut,29,55729,227,PARTITION_2,83403,604274
cut,30,55729,339,PARTITION_4,34665,902418
cut,30,55729,109,PARTITION_2,61922,290158
cut,31,55729,431,PARTITION_9,50250,1147322
cut,31,55729,37,PARTITION_2,20861,98494
cut_low-src,0,55729,199,PARTITION_1,54292,529738
cut_low-src,0,55729,17,PARTITION_2,18709,45254
cut_low-src,1,55729,199,PARTITION_1,57048,529738
cut_low-src,1,55729,10,PARTITION_2,15434,26620
cut_low-src,2,55729,244,PARTITION_1,57697,649528
cut_low-src,2,55729,9,PARTITION_2,14326,23958
cut_low-src,3,55729,18,PARTITION_1,6422,47916
cut_low-src,3,55729,169,PARTITION_7,45969,449878
cut_low-src,3,55729,19,PARTITION_2,20197,50578
cut_low-src,4,55729,207,PARTITION_7,57626,551034
cut_low-src,4,55729,10,PARTITION_2,14588,26620
cut_low-src,5,55729,261,PARTITION_7,60733,694782
cut_low-src,5,55729,7,PARTITION_2,11424,18634
cut_low-src,6,55729,63,PARTITION_7,21102,167706
