description,bin,lower_bound,sites,partition,op_optimized,op_maximum
odda,0,401585,123,gene172,4048,6273
odda,0,401585,210,gene117,6569,10710
odda,0,401585,289,gene189,8736,14739
odda,0,401585,338,gene56,10160,17238
odda,0,401585,401,gene186,11800,20451
odda,0,401585,454,gene4,12892,23154
odda,0,401585,480,gene237,13316,24480
odda,0,401585,521,gene33,14816,26571
odda,0,401585,552,gene9,15636,28152
odda,0,401585,621,gene182,17204,31671
odda,0,401585,679,gene254,17924,34629
odda,0,401585,721,gene257,19408,36771
odda,0,401585,795,gene130,21452,40545
odda,0,401585,845,gene274,22268,43095
odda,0,401585,919,gene162,24336,46869
odda,0,401585,1076,gene176,27652,54876
odda,0,401585,1208,gene278,29752,61608
odda,0,401585,1326,gene214,32580,67626
odda,0,401585,1586,gene238,38188,80886
odda,0,401585,2288,gene157,54684,116688
odda,1,401585,136,gene57,4459,6936
odda,1,401585,210,gene92,6756,10710
odda,1,401585,291,gene247,8656,14841
odda,1,401585,339,gene246,9788,17289
odda,1,401585,404,gene220,11628,20604
odda,1,401585,455,gene226,12448,23205
odda,1,401585,482,gene17,13920,24582
odda,1,401585,522,gene202,14512,26622
odda,1,401585,559,gene236,15100,28509
odda,1,401585,635,gene70,17276,32385
odda,1,401585,684,gene36,18876,34884
odda,1,401585,730,gene300,19444,37230
odda,1,401585,805,gene175,22048,41055
odda,1,401585,850,gene250,21944,43350
odda,1,401585,922,gene138,24160,47022
odda,1,401585,1084,gene89,28288,55284
odda,1,401585,1226,gene243,30420,62526
odda,1,401585,1326,gene199,32632,67626
odda,1,401585,1602,gene244,38552,81702
odda,1,401585,250,gene157,59828,129438
odda,1,401585,1920,gene239,45388,97920
odda,2,401585,141,gene171,4547,7191
odda,2,401585,223,gene133,7020,11373
odda,2,401585,291,gene97,8952,14841
odda,2,401585,339,gene156,10112,17289
odda,2,401585,405,gene147,11848,20655
odda,2,401585,459,gene131,13248,23409
odda,2,401585,483,gene280,13656,24633
