description,bin,lower_bound,sites,partition,op_optimized,op_maximum
odda,0,2574185,135,gene58,4443,6885
odda,0,2574185,162,gene98,5311,8262
odda,0,2574185,188,gene31,6140,9588
odda,0,2574185,193,gene24,6308,9843
odda,0,2574185,207,gene194,6415,10557
odda,0,2574185,208,gene65,6568,10608
odda,0,2574185,223,gene5,6827,11373
odda,0,2574185,232,gene51,7432,11832
odda,0,2574185,257,gene8,8116,13107
odda,0,2574185,258,gene77,8136,13158
odda,0,2574185,272,gene231,8188,13872
odda,0,2574185,291,gene119,9092,14841
odda,0,2574185,299,gene150,9072,15249
odda,0,2574185,341,gene35,10220,17391
odda,0,2574185,344,gene193,10296,17544
odda,0,2574185,348,gene16,10419,17748
odda,0,2574185,360,gene44,10560,18360
odda,0,2574185,369,gene68,11084,18819
odda,0,2574185,375,gene80,10876,19125
odda,0,2574185,385,gene95,11220,19635
odda,0,2574185,387,gene205,11244,19737
odda,0,2574185,390,gene96,11768,19890
odda,0,2574185,402,gene175,11708,20502
odda,0,2574185,411,gene17,12192,20961
odda,0,2574185,431,gene15,12228,21981
odda,0,2574185,436,gene190,12484,22236
odda,0,2574185,438,gene113,12816,22338
odda,0,2574185,455,gene73,13208,23205
odda,0,2574185,459,gene180,12776,23409
odda,0,2574185,464,gene197,13028,23664
odda,0,2574185,470,gene120,13464,23970
odda,0,2574185,473,gene215,13212,24123
odda,0,2574185,479,gene90,13612,24429
odda,0,2574185,491,gene19,14188,25041
odda,0,2574185,496,gene70,14192,25296
odda,0,2574185,512,gene56,14588,26112
odda,0,2574185,515,gene126,14504,26265
odda,0,2574185,525,gene102,14872,26775
odda,0,2574185,541,gene59,15404,27591
odda,0,2574185,545,gene167,14836,27795
odda,0,2574185,553,gene86,15456,28203
odda,0,2574185,556,gene218,15008,28356
odda,0,2574185,570,gene216,15384,29070
odda,0,2574185,572,gene85,15968,29172
odda,0,2574185,581,gene33,16316,29631
odda,0,2574185,584,gene78,16404,29784
odda,0,2574185,590,gene201,16200,30090
odda,0,2574185,602,gene170,16212,30702
odda,0,2574185,612,gene211,16680,31212
odda,0,2574185,621,gene39,17544,31671
odda,0,2574185,625,gene207,16944,31875
odda,0,2574185,634,gene6,17620,32334
odda,0,2574185,639,gene181,17488,32589
odda,0,2574185,645,gene109,17712,32895
odda,0,2574185,660,gene176,17500,33660
odda,0,2574185,672,gene110,18448,34272
odda,0,2574185,681,gene92,18672,34731
odda,0,2574185,690,gene1,18900,35190
odda,0,2574185,697,gene177,18360,35547
odda,0,2574185,712,gene107,19696,36312
odda,0,2574185,736,gene127,19516,37536
odda,0,2574185,747,gene196,19988,38097
odda,0,2574185,760,gene26,20596,38760
odda,0,2574185,766,gene57,20708,39066
odda,0,2574185,771,gene206,20716,39321
odda,0,2574185,780,gene75,21292,39780
odda,0,2574185,790,gene53,21232,40290
odda,0,2574185,798,gene48,21468,40698
odda,0,2574185,816,gene32,21740,41616
odda,0,2574185,818,gene166,21572,41718
odda,0,2574185,826,gene21,22084,42126
odda,0,2574185,841,gene199,21968,42891
odda,0,2574185,843,gene220,22036,42993
odda,0,2574185,850,gene151,22412,43350
odda,0,2574185,869,gene164,22468,44319
odda,0,2574185,885,gene22,23688,45135
odda,0,2574185,912,gene37,24192,46512
odda,0,2574185,919,gene195,23512,46869
odda,0,2574185,931,gene204,24220,47481
odda,0,2574185,942,gene173,23840,48042
odda,0,2574185,945,gene214,24284,48195
odda,0,2574185,957,gene152,24280,48807
odda,0,2574185,963,gene116,25640,49113
odda,0,2574185,987,gene189,25304,50337
odda,0,2574185,1010,gene228,25672,51510
odda,0,2574185,1020,gene222,26068,52020
odda,0,2574185,1046,gene209,26672,53346
odda,0,2574185,1065,gene202,27132,54315
odda,0,2574185,1075,gene182,27136,54825
