description,bin,lower_bound,sites,partition,op_optimized,op_maximum
odda,0,172785,33,5.8S,5448,12903
odda,0,172785,268,gbss13rd,21652,104788
odda,0,172785,354,cprs,43875,138414
odda,0,172785,614,phyb3rd,70717,240074
odda,0,172785,350,ndhf1st,96585,386308
odda,1,172785,241,its2,41359,94231
odda,1,172785,354,rbcl1st,31146,138414
odda,1,172785,386,rpoc23rd,34787,150926
odda,1,172785,638,ndhf1st,65004,249458
cut,0,172785,268,gbss13rd,21652,104788
cut,0,172785,386,rpoc23rd,34787,150926
cut,0,172785,354,cprs,43875,138414
cut,0,172785,724,ndhf1st,72520,283084
cut,1,172785,33,5.8S,5448,12903
cut,1,172785,354,rbcl1st,31146,138414
cut,1,172785,241,its2,41359,94231
cut,1,172785,614,phyb3rd,70717,240074
cut,1,172785,264,ndhf1st,32246,103224
cut_low-src,0,172785,268,gbss13rd,21652,104788
cut_low-src,0,172785,386,rpoc23rd,34787,150926
cut_low-src,0,172785,354,cprs,43875,138414
cut_low-src,0,172785,740,ndhf1st,75096,289340
cut_low-src,1,172785,33,5.8S,5448,12903
cut_low-src,1,172785,354,rbcl1st,31146,138414
cut_low-src,1,172785,241,its2,41359,94231
cut_low-src,1,172785,614,phyb3rd,70717,240074
cut_low-src,1,172785,248,ndhf1st,28344,96968
cut_low-src_red-max,0,172785,268,gbss13rd,21652,104788
cut_low-src_red-max,0,172785,386,rpoc23rd,34787,150926
cut_low-src_red-max,0,172785,354,cprs,43875,138414
cut_low-src_red-max,0,172785,744,ndhf1st,76160,290904
cut_low-src_red-max,1,172785,33,5.8S,5448,12903
cut_low-src_red-max,1,172785,354,rbcl1st,31146,138414
cut_low-src_red-max,1,172785,241,its2,41359,94231
cut_low-src_red-max,1,172785,614,phyb3rd,70717,240074
cut_low-src_red-max,1,172785,244,ndhf1st,27398,95404
cut_red-max,0,172785,268,gbss13rd,21652,104788
cut_red-max,0,172785,386,rpoc23rd,34787,150926
cut_red-max,0,172785,354,cprs,43875,138414
cut_red-max,0,172785,739,ndhf1st,75800,288949
cut_red-max,1,172785,33,5.8S,5448,12903
cut_red-max,1,172785,354,rbcl1st,31146,138414
cut_red-max,1,172785,241,its2,41359,94231
cut_red-max,1,172785,614,phyb3rd,70717,240074
cut_red-max,1,172785,249,ndhf1st,28791,97359
cut_adj-lmt,0,172785,268,gbss13rd,21652,104788
cut_adj-lmt,0,172785,386,rpoc23rd,34787,150926
cut_adj-lmt,0,172785,354,cprs,43875,138414
cut_adj-lmt,0,172785,771,ndhf1st,76582,301461
cut_adj-lmt,1,172785,33,5.8S,5448,12903
cut_adj-lmt,1,172785,354,rbcl1st,31146,138414
cut_adj-lmt,1,172785,241,its2,41359,94231
cut_adj-lmt,1,172785,614,phyb3rd,70717,240074
cut_adj-lmt,1,172785,217,ndhf1st,27722,84847
cut_adj-lmt_low-src,0,172785,268,gbss13rd,21652,104788
cut_adj-lmt_low-src,0,172785,386,rpoc23rd,34787,150926
